날짜,report_url
2022/03/30,https://www.who.int/docs/default-source/coronaviruse/weekly-updates/20220330_wou_97.pdf?sfvrsn=bc604ef7_3&download=true
2022/03/29,https://www.who.int/docs/default-source/coronaviruse/situation-reports/20220329_weekly_epi_update_85.pdf?sfvrsn=16aaa557_4&download=true
2022/03/22,https://www.who.int/docs/default-source/coronaviruse/situation-reports/20220322_weekly_epi_update_84.pdf?sfvrsn=9ec904fc_8&download=true
2022/03/22,https://www.who.int/docs/default-source/coronaviruse/weekly-updates/20220322_wou_96.pdf?sfvrsn=afc31ab6_3&download=true
2022/03/15,https://www.who.int/docs/default-source/coronaviruse/situation-reports/20220315_weekly_epi_update_83.pdf?sfvrsn=194a6d66_4&download=true
2022/03/15,https://www.who.int/docs/default-source/coronaviruse/weekly-updates/20220315_wou_95.pdf?sfvrsn=e2fb6206_3&download=true
2022/03/08,https://www.who.int/docs/default-source/coronaviruse/situation-reports/20220308_weekly_epi_update_82.pdf?sfvrsn=bcd9ca78_4&download=true
2022/02/08,https://www.who.int/docs/default-source/coronaviruse/weekly-updates/2022028_wou_94.pdf?sfvrsn=3ca3b13_3&download=true
2022/03/01,https://www.who.int/docs/default-source/coronaviruse/weekly-updates/20220301_wou_93.pdf?sfvrsn=1c81a78d_3&download=true
2022/03/01,https://www.who.int/docs/default-source/coronaviruse/situation-reports/20220301_weekly_epi_update_81.pdf?sfvrsn=7632e25_4&download=true
2022/02/22,https://www.who.int/docs/default-source/coronaviruse/situation-reports/20220222_weekly_epi_update_80.pdf?sfvrsn=31931200_3&download=true
2022/02/22,https://www.who.int/docs/default-source/coronaviruse/weekly-updates/20220222_wou_92.pdf?sfvrsn=52e56e95_3&download=true
2022/02/15,https://www.who.int/docs/default-source/coronaviruse/weekly-updates/20220215_wou_91.pdf?sfvrsn=1a491ba4_3&download=true
2022/02/15,https://www.who.int/docs/default-source/coronaviruse/situation-reports/20220215_weekly_epi_update_79.pdf?sfvrsn=8d9cdd8d_4&download=true
2022/02/08,https://www.who.int/docs/default-source/coronaviruse/situation-reports/20220208_weekly_epi_update_78.pdf?sfvrsn=630094d6_4&download=true
2022/02/08,https://www.who.int/docs/default-source/coronaviruse/weekly-updates/20220208_wou_90.pdf?sfvrsn=68891546_3&download=true
2022/02/01,https://www.who.int/docs/default-source/coronaviruse/situation-reports/20220201_weekly_epi_update_77.pdf?sfvrsn=f0b4115f_26&download=true
2022/02/01,https://www.who.int/docs/default-source/coronaviruse/weekly-updates/20220201_wou_89.pdf?sfvrsn=4ecf7bdb_3&download=true
2022/01/25,https://www.who.int/docs/default-source/coronaviruse/situation-reports/20220125_weekly_epi_update_76.pdf?sfvrsn=b4fd8a15_13&download=true
2022/01/25,https://www.who.int/docs/default-source/coronaviruse/weekly-updates/20220125_wou_88.pdf?sfvrsn=3ed65cbc_3&download=true
2022/01/18,https://www.who.int/docs/default-source/coronaviruse/situation-reports/20220118_weekly_epi_update_75.pdf?sfvrsn=3f8800dc_5&download=true
2022/01/17,https://www.who.int/docs/default-source/coronaviruse/weekly-updates/20220117_wou_87.pdf?sfvrsn=318e441f_3&download=true
2022/01/11,https://www.who.int/docs/default-source/coronaviruse/situation-reports/20220111_weekly_epi_update_74.pdf?sfvrsn=ecbff36_8&download=true
2022/01/11,https://www.who.int/docs/default-source/coronaviruse/weekly-updates/20220111_wou_86.pdf?sfvrsn=716f657b_3&download=true
2022/01/06,https://www.who.int/docs/default-source/coronaviruse/situation-reports/20220106_weekly_epi_update_73.pdf?sfvrsn=c731e59b_3&download=true
