Country_Region,2022/02/01,2022/02/02,2022/02/03,2022/02/04,2022/02/05,2022/02/06,2022/02/07,2022/02/08,2022/02/09,2022/02/10,2022/02/11,2022/02/12,2022/02/13,2022/02/14,2022/02/15,2022/02/16,2022/02/17,2022/02/18,2022/02/19,2022/02/20,2022/02/21,2022/02/22,2022/02/23,2022/02/24,2022/02/25,2022/02/26,2022/02/27,2022/02/28
Lithuania,715474,730245,745657,760533,775255,786158,794046,804300,818479,830965,843042,854681,863960,869035,876595,887068,894809,901787,911276,918117,922284,929307,938419,946310,953098,959177,963422,965873
Luxembourg,159438,161986,163980,165958,165958,165958,168988,170100,171452,172502,173419,173419,173419,174856,175408,176177,176736,177372,177372,177372,178507,179305,180376,181195,181903,181903,181903,183177
MS Zaandam,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Madagascar,59319,59319,59319,59319,61434,61434,61434,61434,61434,61434,61434,62844,62844,62844,62844,62844,62844,62844,63433,63433,63433,63433,63433,63433,63433,63659,63659,63659
Malawi,84572,84632,84693,84738,84795,84813,84844,84876,84915,84936,84974,85009,85025,85033,85065,85106,85134,85179,85205,85219,85228,85238,85257,85276,85295,85314,85328,85339
Malaysia,2876324,2882060,2887780,2895014,2904131,2914220,2925254,2939198,2956332,2975422,2996361,3019163,3040235,3064575,3083683,3111514,3138215,3166023,3194848,3221680,3246779,3273958,3305157,3337227,3367871,3395170,3419636,3442736
Maldives,141060,143202,145036,146991,148580,150337,151913,153415,154511,155917,156903,158031,159061,160076,161113,162169,162974,163581,164229,165073,165729,166525,167496,168124,168631,169148,169632,170192
Mali,30101,30131,30148,30156,30156,30205,30215,30227,30236,30251,30257,30259,30265,30266,30286,30303,30321,30333,30338,30340,30346,30352,30355,30358,30365,30371,30378,30381
Malta,67966,68193,68433,68647,68842,69000,69175,69361,69533,69651,69794,69901,70017,70089,70211,70328,70437,70516,70588,70665,70739,70829,70908,71003,71083,71179,71235,71275
Marshall Islands,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Mauritania,58298,58335,58381,58407,58443,58458,58490,58508,58527,58542,58557,58563,58569,58575,58577,58584,58593,58595,58604,58611,58616,58618,58621,58621,58626,58629,58632,58633
Mauritius,107293,108486,109142,110967,112844,114570,116315,118535,120696,122745,124962,127165,129445,131843,134870,138373,141434,144488,147373,149132,150175,153526,156462,159324,161746,163901,165663,167644
Mexico,4985689,4985689,5027870,5106048,5141291,5151525,5160767,5167110,5192008,5192008,5226269,5283852,5283852,5292706,5300537,5344840,5366405,5366405,5407711,5413425,5413425,5418257,5455237,5473489,5489127,5502586,5506105,5508629
Micronesia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Moldova,445046,449840,455095,460307,464234,467271,468782,471524,474548,477419,480289,482842,484516,485563,487283,488899,490751,492604,494219,495184,495415,496976,497946,499015,500144,500812,501312,501800
Monaco,8183,8183,8183,8703,8761,8770,8770,8880,8922,8956,8988,9020,9020,9020,9085,9111,9128,9162,9186,9188,9188,9267,9305,9331,9359,9359,9359,9359
Mongolia,846940,849668,853140,855079,858376,860116,860976,860976,863372,864564,875440,875440,875440,885554,888363,891267,893721,893721,893721,893721,899002,899706,903150,904231,905968,905968,905968,908157
Montenegro,220597,221214,221902,222434,222961,223462,223774,224368,224793,225253,225740,226142,226467,226692,227045,227473,227859,228182,228522,228771,228956,229222,229430,229630,229836,230011,230120,230207
Morocco,1135796,1138847,1141708,1143974,1146041,1147243,1147964,1149582,1151081,1152414,1153562,1154531,1155165,1155534,1156356,1157001,1157637,1158145,1158669,1158967,1159157,1159584,1159941,1160303,1160562,1160750,1160892,1160975
Mozambique,223949,224043,224143,224224,224309,224339,224347,224434,224494,224559,224603,224653,224703,224719,224767,224791,224815,224841,224882,224903,224920,224937,224983,224999,225018,225036,225038,225047
Namibia,155942,156044,156102,156187,156301,156371,156444,156482,156519,156563,156604,156765,156765,156810,156843,156872,156913,156936,156982,157010,157034,157034,157060,157106,157133,157193,157210,157225
Nauru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal,957570,959775,962517,964119,965222,966405,967427,968611,970462,971475,972141,972632,973059,973541,974039,974493,974857,975132,975330,975559,975806,976105,976361,976512,976670,976771,976865,976984
Netherlands,4625059,4692276,4775341,4844456,4884766,4979757,5057486,5438101,5524817,5611778,5692528,5763010,5823241,5878310,5931934,5995894,6052397,6101775,6135447,6171918,6207958,6242693,6283336,6324585,6362177,6395100,6422501,6451397
New Zealand,16819,17007,17279,17548,17775,17990,18255,18505,18839,19315,19779,19779,21575,22330,23511,25052,26938,28754,31091,33321,36166,39349,45479,57503,71130,71130,86146,118822
Nicaragua,13681,13727,13727,13727,13727,13727,13727,13727,13792,13792,13792,13792,13792,13792,13792,13877,13877,13877,13877,13877,13877,13877,13958,13958,13958,13958,13958,13958
Niger,8655,8656,8656,8670,8682,8686,8691,8696,8700,8703,8707,8709,8711,8712,8724,8724,8728,8728,8734,8738,8743,8743,8746,8746,8746,8746,8751,8754
Nigeria,253340,253405,253405,253540,253685,253727,253780,253838,253875,253875,253923,253978,254016,254016,254124,254137,254137,254221,254243,254243,254293,254352,254352,254428,254428,254501,254525,254560
North Macedonia,270897,272437,274144,275637,277137,278182,278872,280594,282147,283547,284875,286096,287016,287481,288750,289797,290915,291820,292660,293328,293559,294407,295082,295712,296229,296703,297081,297262
Norway,804286,827585,849389,870245,883388,893560,911212,937321,962407,986855,1009926,1024379,1035753,1049811,1068686,1086614,1103956,1119204,1128763,1136409,1151288,1169037,1186422,1202017,1217306,1225866,1231766,1242160
Oman,341708,344043,346041,346041,346041,352187,354597,356900,359256,360999,360999,360999,365700,367679,369190,370620,372060,372060,372060,375688,376724,377948,378922,379618,379618,379618,381381,382244
Pakistan,1436413,1442263,1448663,1454800,1459773,1463111,1465910,1470161,1474075,1477573,1480592,1483798,1486361,1488958,1491423,1494293,1496693,1498676,1500320,1501680,1502641,1503873,1505328,1506450,1507657,1508504,1509360,1510221
Palau,1810,1940,2115,2352,2495,2556,2716,2843,2956,3045,3119,3133,3133,3256,3303,3303,3425,3463,3463,3463,3563,3627,3667,3696,3726,3726,3726,3781
Panama,705880,705880,717171,721479,721479,727413,727413,732207,735235,737659,739770,741651,742854,742854,745367,746695,747916,749135,749135,750760,750760,752173,752907,753694,754362,754905,755262,755498
Papua New Guinea,37270,37390,37390,37390,37390,37390,37788,37788,37983,38222,38222,38481,38481,38671,38671,39035,39580,39580,39580,39909,40296,40296,40621,40748,41038,41038,41038,41290
Paraguay,589318,594430,598170,598170,605005,607947,610207,612893,615911,618815,620708,620708,624475,626355,628574,630718,632444,633733,634780,634780,636520,637225,638153,639078,639078,639078,641321,641321
Peru,3239538,3286151,3308693,3331290,3349298,3363489,3372895,3384546,3397637,3411201,3424894,3435753,3445680,3449712,3456789,3466309,3474965,3481752,3490988,3496009,3497896,3500880,3503892,3506075,3508642,3512404,3516264,3517260
Philippines,3569665,3577298,3585461,3594002,3601471,3609568,3616387,3619633,3623176,3627575,3630637,3634368,3637280,3639942,3641940,3644597,3646793,3648925,3650748,3652203,3653526,3654284,3655709,3657342,3658892,3660020,3661049,3661997
Poland,4925270,4981321,5035796,5083332,5129080,5163780,5188184,5223507,5270363,5312450,5348224,5379551,5401615,5415088,5437343,5466198,5495432,5519411,5540302,5553989,5563446,5582217,5602680,5620946,5637646,5651596,5660493,5667054
Portugal,2718138,2771842,2829347,2882659,2932680,2976771,3009717,3027626,3060477,3096708,3126295,3152099,3172961,3189891,3198779,3218215,3239570,3257373,3274118,3289278,3299337,3305484,3319787,3339225,3351880,3363373,3373936,3381602
Qatar,340383,341628,342811,343808,344711,345623,346546,347365,348141,348924,349581,350188,350801,351402,351949,352447,352894,353346,353780,354222,354638,355032,355397,355740,356066,356363,356671,356982
Romania,2256543,2292345,2325016,2356792,2385713,2401821,2418779,2455048,2482394,2508860,2531597,2550348,2562315,2574384,2596269,2613716,2629090,2643614,2655933,2663630,2671314,2686089,2697566,2708315,2717289,2724480,2728727,2733484
Russia,11795059,11936064,12090707,12257664,12433643,12612259,12782791,12946888,13128679,13323972,13526183,13728138,13923951,14102736,14267875,14445698,14624423,14802439,14979363,15147762,15297628,15430540,15566425,15697674,15819594,15941241,16055851,16161596
Rwanda,128933,128971,129039,129084,129125,129141,129157,129177,129210,129234,129278,129295,129298,129311,129326,129337,129345,129359,129369,129372,129378,129419,129436,129468,129483,129485,129489,129502
Saint Kitts and Nevis,5446,5453,5467,5469,5475,5475,5484,5488,5492,5495,5497,5498,5499,5505,5508,5511,5511,5518,5523,5523,5523,5523,5524,5525,5526,5530,5530,5530
Saint Lucia,20942,21081,21399,21399,21513,21513,21535,21768,21831,21873,21932,21932,22048,22121,22177,22269,22426,22468,22468,22468,22545,22568,22594,22627,22649,22649,22667,22694
Saint Vincent and the Grenadines,7929,7939,7939,8035,8035,8035,8114,8134,8144,8144,8144,8144,8144,8246,8248,8248,8278,8278,8278,8278,8278,8297,8301,8303,8305,8305,8305,8309
Samoa,32,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
San Marino,12884,13085,13328,13328,13328,13328,13571,13572,13788,13852,13861,13861,13861,13988,14044,14086,14086,14147,14147,14147,14207,14207,14262,14291,14310,14310,14310,14369
Sao Tome and Principe,5899,5903,5907,5908,5911,5912,5912,5912,5913,5916,5919,5920,5920,5920,5920,5922,5922,5924,5925,5926,5930,5930,5932,5932,5933,5933,5934,5934
Saudi Arabia,691125,695217,699069,702624,705637,708897,712644,715974,719136,722002,724525,726251,728387,730614,732596,734389,735958,737334,738331,739344,740396,741237,741864,742541,743205,743742,744374,745027
Senegal,85038,85072,85117,85143,85178,85206,85237,85256,85282,85308,85346,85370,85412,85440,85454,85469,85495,85521,85545,85564,85588,85600,85619,85637,85651,85666,85676,85693
Serbia,1697012,1714863,1730486,1745005,1757741,1768343,1779782,1793554,1806086,1817207,1826787,1834974,1841010,1848040,1855174,1861413,1867836,1874134,1874134,1883113,1887596,1892187,1896575,1900293,1903494,1906142,1908272,1910975
Seychelles,37190,37194,37771,37771,37771,37771,38120,38124,38293,38293,38395,38395,38395,38659,38766,38829,38916,38916,38916,38916,39181,39181,39181,39251,39251,39251,39251,39336
Sierra Leone,7623,7625,7625,7627,7627,7628,7628,7637,7638,7648,7648,7652,7652,7652,7659,7661,7661,7661,7663,7663,7663,7663,7663,7665,7665,7665,7665,7665
Singapore,359075,362176,366473,379681,379681,390071,405629,418640,428954,439640,449570,460075,469495,478577,497997,514880,533425,551519,576355,582638,596261,622293,642605,661198,679795,696652,710880,724424
Slovakia,1593001,1617288,1639953,1660336,1686936,1705482,1718369,1743941,1765914,1794150,1818532,1841934,1858190,1870119,1891646,1920150,1943101,1964411,1985859,2000643,2010065,2025646,2052260,2071372,2083963,2102420,2112272,2119358
Slovenia,722648,745980,762840,774584,786957,794443,800012,811174,816299,828508,836088,843495,847777,851416,858670,863461,868142,871951,875747,878036,880073,882364,884830,887224,889202,891041,891950,892620
Solomon Islands,1486,2167,2357,2357,2790,2790,3319,3319,3795,4203,4302,4302,4489,4827,4910,5043,5565,5565,5684,5790,5891,5968,6348,6654,6654,6813,6937,7049
Somalia,26067,26067,26067,26067,26067,26067,26203,26203,26203,26203,26203,26203,26203,26203,26260,26260,26260,26260,26260,26260,26313,26313,26313,26313,26313,26313,26313,26313
South Africa,3608307,3612809,3616075,3616075,3622210,3623962,3625190,3626014,3631642,3634811,3637673,3640162,3641811,3642905,3645269,3648968,3652024,3654824,3657091,3658547,3659698,3662032,3665149,3667560,3669671,3671991,3673257,3674042
South Sudan,16810,16810,16820,16833,16833,16833,16856,16861,16873,16880,16880,16880,16880,16897,16900,16903,16903,16903,16903,16903,16936,16940,16946,16950,16955,16955,16955,16973
Spain,10039126,10125348,10199716,10199716,10199716,10199716,10395471,10439302,10502141,10555196,10604200,10604200,10604200,10672906,10707286,10744394,10778607,10809222,10809222,10809222,10858000,10880193,10914105,10949997,10977524,10977524,10977524,10977524
