Country_Region,2022/01/01,2022/01/02,2022/01/03,2022/01/04,2022/01/05,2022/01/06,2022/01/07,2022/01/08,2022/01/09,2022/01/10,2022/01/11,2022/01/12,2022/01/13,2022/01/14,2022/01/15,2022/01/16,2022/01/17,2022/01/18,2022/01/19,2022/01/20,2022/01/21,2022/01/22,2022/01/23,2022/01/24,2022/01/25,2022/01/26,2022/01/27,2022/01/28,2022/01/29,2022/01/30,2022/01/31
Burma,530946,531025,531155,531299,531432,531624,531801,531925,532062,532167,532402,532553,532725,532851,533021,533144,533245,533408,533604,533732,533815,533959,534071,534163,534383,534503,534671,534908,535080,535254,535532
Burundi,27366,27366,27366,32076,32076,33551,34722,34722,34722,35500,35755,35755,36115,36257,36257,36257,36654,36736,36785,36868,36868,36868,36868,37042,37138,37170,37265,37299,37299,37299,37432
Cabo Verde,42463,42811,43567,44592,45989,47376,48845,49850,50250,50959,52007,52729,52729,53784,53987,53987,54367,54637,54891,54891,55178,55256,55306,55401,55471,55543,55595,55635,55658,55677,55695
Cambodia,120507,120510,120516,120526,120535,120553,120564,120591,120621,120636,120670,120718,120718,120728,120773,120796,120825,120847,120877,120914,120956,121000,121026,121066,121094,121116,121150,121188,121242,121299,121355
Cameroon,109367,109367,109367,109367,109367,109367,109666,109666,109666,109666,109666,109666,109666,109666,109666,109666,109666,109666,109666,109666,114113,114113,114113,114113,114113,114113,114113,114113,114113,114113,116718
Canada,2256747,2286735,2323056,2372323,2412242,2454121,2499612,2528644,2554916,2613377,2646228,2681101,2712688,2753198,2771345,2786622,2828029,2848893,2872365,2895331,2916524,2930307,2935575,2955087,2984054,2991708,3020108,3036647,3045083,3052373,3073654
Central African Republic,12163,12163,12163,12163,12454,12454,12454,12454,12454,12454,12650,12650,12650,13319,13319,13319,13319,13319,13319,13509,13509,13611,13611,13611,13840,13840,13898,13898,13898,13898,13919
Chad,6183,6183,6183,6185,6185,6185,6185,6185,6185,6556,6558,6558,6558,6558,6558,6558,6887,6889,6889,6889,6889,6889,6889,7073,7075,7075,7075,7075,7075,7075,7155
Chile,1808398,1810302,1811297,1812348,1814188,1817300,1821071,1825417,1829437,1833478,1837390,1842218,1849465,1857764,1867101,1876610,1885540,1893115,1902657,1916522,1934204,1949675,1965393,1984190,2001346,2020082,2045874,2075703,2107612,2137743,2165984
China,128132,128259,128596,128771,129064,129280,129491,129738,129959,130213,130497,130737,130977,131184,131327,131601,131796,131928,132043,132148,132264,132383,132597,132772,132978,133209,133484,133709,133939,134139,134345
Colombia,5169855,5181173,5191021,5203374,5219633,5242672,5268862,5300032,5330662,5357767,5380841,5410698,5440981,5475904,5511479,5543796,5568068,5596917,5624520,5655026,5686065,5714092,5740179,5761398,5780910,5798799,5816462,5837408,5855858,5871977,5887261
Comoros,6688,6835,6907,7068,7283,7405,7497,7554,7594,7622,7655,7715,7715,7745,7745,7756,7767,7771,7784,7784,7793,7801,7812,7814,7814,7821,7824,7827,7829,7832,7832
Congo (Brazzaville),20089,20089,21277,21277,21277,21277,21844,21844,22418,22418,22418,22418,22418,22969,22969,22969,23244,23244,23244,23244,23380,23380,23485,23485,23485,23485,23653,23653,23653,23653,23705
Congo (Kinshasa),74793,74793,74793,79274,79942,80175,80175,80175,80175,80998,81719,81719,81719,82306,82306,82306,82984,82984,82984,84198,84283,84283,84283,84519,84760,84877,84926,84998,84998,84998,85379
Costa Rica,570556,570556,570556,575871,578413,581394,584547,584547,584547,591745,595795,599965,604658,609882,609882,609882,620587,625952,631311,637327,643496,643496,643496,643496,661684,668209,675178,682480,682480,682480,694865
Cote d'Ivoire,71815,72352,72352,73786,75064,75715,76321,76732,77449,77677,77857,78258,78495,78699,79088,79088,79273,79435,79558,79558,79814,80114,80176,80249,80363,80396,80487,80566,80623,80695,80718
Croatia,720538,720951,722054,727899,736486,745544,749455,758272,765605,767183,775139,785033,794190,802745,811703,817435,818832,826380,836807,848150,859264,869965,877060,878891,887362,899174,909674,919598,929502,935722,937167
Cuba,966473,966942,967498,968171,969138,970567,972513,974687,977410,979929,982614,985402,988789,992125,995631,999193,1002499,1005649,1008616,1011811,1015203,1018604,1022112,1025419,1028183,1031170,1033984,1036783,1039842,1042671,1044790
Cyprus,169159,172697,177721,183178,188380,192157,197401,201360,204372,208559,212074,215271,218374,221416,223767,225738,228881,230856,233082,235364,235364,237260,239073,241888,241888,243818,246354,248941,251125,253350,256746
Czechia,2480736,2481832,2483762,2493145,2503374,2510796,2517475,2524171,2528146,2530917,2538298,2562235,2562235,2573945,2587147,2632719,2641228,2662424,2692967,2722736,2757901,2787628,2808253,2824706,2858293,2900420,2955286,3011231,3066602,3088053,3115889
Denmark,831974,839952,849334,874890,903652,929647,948499,961591,982189,997079,1020221,1045670,1072431,1096434,1121881,1149246,1178595,1213582,1253200,1294068,1342309,1379122,1421658,1462869,1510577,1558312,1610313,1664142,1706529,1743246,1772901
Diamond Princess,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712
Djibouti,13668,13685,13723,13769,13839,13948,14035,14084,14177,14317,14415,14541,14680,14801,14841,14900,14984,15089,15134,15200,15250,15271,15311,15349,15372,15396,15411,15429,15440,15451,15464
Dominica,6862,6862,6862,7073,7073,7137,7241,7299,7299,7394,7562,7667,7667,7822,7822,7957,7957,7957,7957,8349,8421,8421,8517,8517,8517,8838,8838,8838,9032,9032,9032
Dominican Republic,419927,421953,424809,428509,433710,439017,444985,451185,457227,462382,469065,476504,482457,489631,494595,498583,504914,510458,517611,524635,530998,536767,539580,542056,544328,547091,550020,551528,552831,554052,555245
Ecuador,551620,552324,553201,554436,557273,559950,561285,564238,567332,569184,578525,588871,593664,602942,614032,625059,629507,639135,649557,658045,664664,674963,681382,684068,691898,697609,707224,717085,725936,729760,732038
