Country_Region,2022/01/01,2022/01/02,2022/01/03,2022/01/04
Sweden,1314784,1314784,1314784,1357753
Switzerland,1332615,1332615,1371062,1391814
Syria,50310,50337,50364,50390
Taiwan*,17050,17070,17095,17129
Tajikistan,17493,17493,17493,17493
Tanzania,29306,29306,29306,29306
Thailand,2226446,2229558,2232485,2235576
Timor-Leste,19839,19839,19842,19842
Togo,30163,31165,31390,31691
Tonga,1,1,1,1
Trinidad and Tobago,92201,92659,92997,93634
Tunisia,727843,728260,728802,731077
Turkey,9519281,9552801,9597670,9652394
Tuvalu,0,0,0,0
US,55099969,55396212,56438999,57267809
Uganda,142604,144540,145963,146843
Ukraine,3852397,3854405,3856359,3858248
United Arab Emirates,764493,767093,769608,772189
United Kingdom,13174530,13310224,13498751,13722579
Uruguay,414294,415249,416970,420108
Uzbekistan,199030,199118,199182,199271
Vanuatu,7,7,7,7
Venezuela,444828,444972,445082,445369
Vietnam,1746092,1763040,1778976,1800704
West Bank and Gaza,469748,469748,469748,471090
Winter Olympics 2022,0,0,0,0
Yemen,10127,10130,10138,10143
Zambia,257948,259677,261221,265479
Zimbabwe,214214,214214,216087,217678
