Country_Region,2022/05/01,2022/05/02,2022/05/03,2022/05/04,2022/05/05,2022/05/06,2022/05/07,2022/05/08,2022/05/09,2022/05/10,2022/05/11,2022/05/12,2022/05/13,2022/05/14,2022/05/15,2022/05/16,2022/05/17,2022/05/18,2022/05/19,2022/05/20,2022/05/21,2022/05/22,2022/05/23,2022/05/24,2022/05/25,2022/05/26,2022/05/27,2022/05/28,2022/05/29,2022/05/30,2022/05/31
Brazil,30454499,30460997,30482429,30502501,30524183,30543908,30558530,30564536,30574245,30594388,30617786,30639130,30664739,30682094,30688390,30701900,30701900,30701900,30701900,30762413,30762413,30851191,30803995,30836815,30851191,30880512,30921145,30945384,30953579,30977661,31019038
Brunei,141911,141911,141976,142166,142312,142465,142627,142858,143107,143372,143616,143866,144136,144411,144659,144956,145221,145521,145783,146044,146315,147271,146775,147021,147271,147493,147667,147872,148089,148395,148674
Bulgaria,1156971,1157199,1157919,1158354,1158793,1158949,1159150,1159301,1159925,1160347,1160706,1161038,1161351,1161504,1161630,1161992,1162449,1162724,1162986,1163225,1163317,1164122,1163706,1163806,1164122,1164358,1164526,1164659,1164732,1164985,1165167
Burkina Faso,20865,20865,20865,20865,20865,20865,20865,20865,20899,20899,20899,20899,20899,20899,20899,20899,20899,20899,20899,20899,20899,20899,20899,20899,20899,20899,20899,20899,20899,20899,20899
Burma,612900,612914,612924,612951,612965,613017,613049,613053,613056,613066,613082,613088,613116,613136,613140,613144,613168,613182,613186,613203,613219,613256,613227,613238,613256,613260,613280,613298,613315,613326,613336
Burundi,39998,40397,40552,40675,40736,40736,40736,40736,40845,41216,41216,41235,41235,41235,41235,41530,41530,41606,41606,41606,41606,41927,41850,41897,41927,41927,41987,41987,41987,42034,42034
Cabo Verde,56025,56028,56031,56036,56046,56056,56062,56065,56075,56080,56093,56099,56105,56105,56115,56115,56127,56127,56127,56156,56167,56177,56172,56172,56177,56177,56264,56264,56290,56294,56324
Cambodia,136252,136254,136257,136258,136259,136260,136262,136262,136262,136262,136262,136262,136262,136262,136262,136262,136262,136262,136262,136262,136262,136262,136262,136262,136262,136262,136262,136262,136262,136262,136262
Cameroon,119780,119780,119780,119780,119780,119780,119780,119780,119780,119780,119780,119780,119780,119780,119780,119780,119780,119780,119780,119780,119780,119947,119780,119780,119947,119947,119947,119947,119947,119947,119947
Canada,3767783,3770449,3776005,3786803,3793942,3802912,3805370,3807514,3809685,3814073,3822281,3827766,3835537,3836335,3836969,3837943,3844271,3850312,3854742,3860575,3861958,3869983,3863389,3865444,3869993,3873780,3879050,3880240,3881220,3882134,3884160
Central African Republic,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649
Chad,7411,7412,7412,7412,7412,7412,7412,7412,7414,7414,7414,7414,7414,7414,7414,7415,7415,7415,7415,7415,7415,7417,7417,7417,7417,7417,7417,7417,7417,7417,7417
Chile,3561016,3562521,3563650,3566183,3569492,3572817,3576139,3576139,3581374,3583227,3586522,3591097,3595968,3600896,3605522,3609338,3611813,3616950,3623889,3630741,3636993,3657188,3647361,3651076,3657188,3665862,3675085,3684585,3693241,3698667,3702941
China,2024284,2031342,2037518,2043178,2048423,2053250,2057995,2062668,2066938,2070480,2072376,2074583,2077182,2079353,2081192,2082624,2084058,2085584,2086877,2088229,2089569,2091771,2091649,2092491,2093305,2094030,2094679,2095275,2095730,2096200,2096684
Colombia,6092667,6092667,6092667,6092667,6093645,6093645,6093645,6093645,6093645,6093645,6093645,6095316,6095316,6095316,6095316,6095316,6095316,6095316,6099111,6099111,6099111,6099111,6099111,6099111,6099111,6103455,6103455,6103455,6103455,6103455,6103455
Comoros,8105,8106,8107,8107,8107,8107,8107,8107,8107,8108,8108,8108,8108,8108,8108,8108,8110,8110,8110,8110,8110,8120,8114,8114,8120,8120,8120,8120,8120,8120,8120
Congo (Brazzaville),24079,24079,24079,24079,24079,24079,24079,24079,24079,24079,24079,24079,24079,24079,24079,24079,24079,24079,24079,24079,24079,24079,24079,24079,24079,24079,24079,24079,24079,24079,24079
Congo (Kinshasa),87023,87023,87023,87023,87023,87023,87023,87023,87023,87023,87023,87023,87023,87023,87023,87633,87633,87633,87633,87633,87633,88036,87633,87633,88036,88036,88036,88036,88036,88374,88374
Costa Rica,852074,852074,852074,857290,857290,857290,857290,857290,857290,866164,866164,866164,866164,866164,866164,866164,866164,877533,877533,877533,877533,891038,877533,891038,891038,891038,891038,891038,891038,891038,891038
Cote d'Ivoire,81957,81957,81959,81967,81968,81970,81970,81974,81974,81977,81977,81985,81989,81989,82001,82008,82008,82020,82034,82044,82044,82116,82070,82088,82116,82141,82155,82183,82193,82194,82215
Croatia,1122982,1123029,1123578,1124762,1125723,1126501,1127336,1127742,1127799,1128239,1129199,1129836,1130562,1131105,1131450,1131492,1131898,1132671,1133139,1133565,1134027,1135128,1134269,1134541,1135128,1135549,1135874,1136229,1136417,1136453,1136500
Cuba,1103131,1103286,1103395,1103488,1103606,1103753,1103876,1103980,1104057,1104110,1104206,1104316,1104393,1104496,1104589,1104661,1104707,1104769,1104830,1104891,1104935,1105091,1105016,1105047,1105091,1105136,1105181,1105227,1105258,1105290,1105319
Cyprus,480220,480220,480220,480220,480220,483664,483664,483664,483664,483664,483664,483664,486086,486086,486086,486086,486086,486086,486086,488189,488189,488189,488189,488189,488189,488189,489963,489963,489963,489963,489963
Czechia,4167608,4169382,4170756,4172302,4173715,4174709,4175131,4175310,4175322,4177129,4177276,4178519,4179110,4179254,4179449,4179981,4180583,4181046,4181475,4181872,4181957,4182111,4182529,4182798,4183201,4183511,4183817,4183868,4183966,4184289,4184645
Denmark,3163955,3164735,3165728,3166690,3167562,3168449,3169368,3169943,3170525,3171528,3172378,3173120,3173885,3174312,3174800,3175370,3176173,3176917,3177581,3177581,3177581,3180709,3177581,3180136,3180709,3181233,3181539,3182007,3182007,3182813,3183525
Diamond Princess,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712
Djibouti,15631,15631,15631,15631,15631,15631,15631,15631,15631,15631,15631,15631,15631,15631,15631,15631,15631,15631,15631,15675,15675,15675,15675,15675,15675,15675,15675,15675,15675,15675,15675
Dominica,12161,12161,12161,12161,12161,12386,12386,12493,12493,12493,12685,12685,12685,12685,13116,13116,13116,13116,13116,13116,13116,14184,13752,13752,14184,14184,14184,14184,14184,14184,14184
Dominican Republic,579443,579443,579443,579572,579572,579743,579743,579743,579743,580020,580020,580201,580336,580412,580412,580661,580661,580661,581044,581044,581153,581869,581464,581647,581869,582193,582693,583159,583159,583722,584029
Ecuador,869696,869696,869696,869956,870526,870526,870526,870526,871029,871046,871046,871046,872268,872268,872268,872542,872542,872542,873609,873609,873609,874750,874719,874750,874750,876009,876009,876665,876665,877282,877282
Egypt,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645
El Salvador,162089,162089,162089,162089,162089,162089,162089,162089,162089,162089,162089,162089,162089,162089,162089,162089,162089,162089,162089,162089,162089,162089,162089,162089,162089,162755,162755,162755,162755,162755,162755
Equatorial Guinea,15907,15907,15908,15908,15910,15910,15910,15910,15910,15910,15910,15910,15910,15910,15910,15910,15910,15910,15910,15910,15910,15910,15910,15910,15910,15914,15915,15915,15915,15921,15921
Eritrea,9734,9734,9734,9735,9735,9737,9737,9737,9738,9738,9738,9740,9745,9745,9745,9745,9751,9751,9751,9753,9754,9756,9755,9755,9756,9756,9757,9757,9757,9759,9759
Estonia,572193,572193,572434,572434,572434,572434,572434,572434,572434,573922,573922,573922,573922,573922,573922,573922,575046,575046,575046,575046,575046,576047,575046,576047,576047,576047,576047,576047,576047,576047,576870
Eswatini,70657,70678,70740,70833,70964,71072,71089,71102,71215,71341,71480,71583,71667,71698,71705,71775,71867,71934,72024,72097,72125,72300,72202,72257,72300,72334,72371,72390,72397,72474,72510
Ethiopia,470581,470587,470609,470647,470686,470704,470730,470740,470760,470798,470833,470851,470899,470937,470949,470991,471040,471089,471145,471227,471343,471678,471423,471527,471678,471879,472048,472232,472232,472447,472743
Fiji,64634,64646,64646,64646,64699,64699,64699,64699,64725,64725,64725,64725,64773,64773,64773,64812,64812,64812,64841,64841,64841,64898,64898,64898,64898,64941,64941,64941,64941,65007,65007
Finland,1023013,1023013,1023013,1023013,1052767,1052767,1052767,1052767,1052767,1052767,1052767,1069740,1069740,1069740,1069740,1069740,1069740,1069740,1081225,1081225,1081225,1081225,1081225,1081225,1081225,1092193,1092193,1092193,1092193,1092193,1092193
France,28872621,28881384,28948497,28996577,29040934,29081169,29119127,29148451,29155815,29212276,29252875,29289023,29321831,29352290,29375134,29381085,29424812,29489304,29517146,29541498,29564005,29605758,29551335,29583616,29605758,29626992,29631816,29655398,29671838,29676522,29711870
