Country_Region,2022/06/01,2022/06/02,2022/06/03,2022/06/04,2022/06/05,2022/06/06,2022/06/07,2022/06/08,2022/06/09,2022/06/10,2022/06/11,2022/06/12,2022/06/13,2022/06/14,2022/06/15,2022/06/16,2022/06/17,2022/06/18,2022/06/19,2022/06/20,2022/06/21,2022/06/22,2022/06/23,2022/06/24,2022/06/25,2022/06/26,2022/06/27,2022/06/28,2022/06/29,2022/06/30
Czechia,4184945,4185178,4185467,4185575,4185677,4186087,4186492,4186492,4186921,4187672,4187899,4187986,4188457,4189007,4189550,4190033,4190558,4190681,4190900,4191530,4192274,4193111,4194033,4194992,4195231,4195536,4196831,4198371,4199867,4201201
Denmark,3184171,3184762,3185307,3185307,3185307,3185307,3187294,3188200,3189112,3190021,3190021,3190021,3192448,3193607,3194812,3196034,3197228,3197228,3197228,3200460,3202601,3204559,3206325,3207777,3207777,3207777,3211064,3213896,3216229,3218395
Diamond Princess,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712
Djibouti,15675,15675,15675,15675,15675,15675,15675,15686,15686,15686,15686,15686,15690,15690,15690,15690,15690,15690,15690,15690,15690,15690,15690,15690,15690,15690,15690,15690,15690,15690
Dominica,14184,14295,14295,14295,14295,14295,14295,14295,14638,14638,14638,14638,14638,14717,14717,14717,14781,14781,14781,14781,14781,14781,14781,14821,14821,14821,14821,14852,14852,14852
Dominican Republic,584029,584526,585567,586099,586926,586926,588408,588978,589521,589521,590764,590764,592578,593324,593324,594964,595927,595927,595927,598079,598594,599469,600410,600410,600410,603256,603256,603256,605784,605784
Ecuador,878196,878196,878196,878196,878196,885318,885318,886223,887478,887478,887478,887478,890852,890852,892176,892176,896483,896483,896483,896483,898667,898667,898667,898667,901739,901739,901739,901739,909882,909882
Egypt,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645
El Salvador,162755,162755,162755,162755,163735,163735,164134,164134,164134,164134,164134,164134,164134,164134,164134,164134,164134,164134,164134,164134,169646,169646,169646,169646,169646,169646,169646,169646,169646,169646
Equatorial Guinea,15923,15923,15923,15924,15924,15924,15927,15931,15933,15937,15937,15937,15945,15945,15945,15945,15951,15951,15951,15951,15955,15962,15962,15995,15995,15995,15995,16034,16034,16034
Eritrea,9764,9765,9767,9767,9767,9768,9768,9768,9768,9769,9769,9771,9771,9773,9773,9775,9775,9777,9777,9777,9782,9784,9785,9788,9788,9788,9792,9796,9796,9799
Estonia,576870,576870,576870,576870,576870,576870,577655,577655,577655,577655,577655,577655,577655,578494,578494,578494,578494,578494,578494,578494,579316,579316,579316,579316,579316,579316,579316,580111,580114,580114
Eswatini,72571,72617,72662,72685,72688,72703,72749,72781,72822,72870,72879,72891,72904,72935,72957,72980,72999,73003,73006,73013,73028,73049,73060,73069,73071,73073,73076,73091,73098,73109
Ethiopia,473188,473635,473979,474715,475012,475321,475764,476398,477006,477742,478544,478963,479484,480450,481225,482032,482888,483739,484138,484536,485047,485774,486373,486831,487217,487430,487683,488108,488433,488724
Fiji,65007,65063,65063,65063,65063,65103,65103,65103,65159,65159,65159,65159,65217,65217,65217,65268,65268,65268,65268,65361,65361,65361,65465,65465,65465,65465,65558,65558,65558,65713
Finland,1092193,1105211,1105211,1105211,1105211,1105211,1105211,1105211,1114573,1114573,1114573,1114573,1114573,1114573,1114573,1125342,1125342,1125342,1125342,1125342,1125342,1125342,1133597,1133597,1133597,1133597,1133597,1133597,1133597,1145610
France,29738170,29763546,29788676,29813848,29834390,29840626,29852463,29906452,29946603,29946697,29946603,29946603,29946647,30123426,30175534,30228615,30279240,30279240,30279240,30381221,30476915,30555038,30634890,30714200,30714200,30714200,30879062,31027099,31151971,31285317
Gabon,47677,47677,47677,47677,47677,47677,47677,47677,47711,47711,47711,47711,47711,47711,47711,47711,47742,47742,47742,47742,47742,47742,47824,47824,47824,47824,47824,47824,47824,47939
Gambia,12002,12002,12002,12002,12002,12002,12002,12002,12002,12002,12002,12002,12002,12002,12002,12002,12002,12002,12002,12002,12002,12002,12002,12002,12002,12002,12002,12002,12002,12002
Georgia,1657729,1657729,1657729,1657729,1657729,1657729,1658240,1658240,1658240,1658240,1658240,1658240,1658240,1658240,1658755,1658755,1658755,1658755,1658755,1658755,1658755,1659371,1659371,1659371,1659371,1659371,1659371,1659371,1660429,1660429
Germany,26360953,26409455,26452148,26452148,26452148,26452148,26498361,26583016,26660652,26738530,26738530,26738530,26809245,26915085,27007429,27096571,27124689,27124689,27124689,27211896,27334993,27454225,27573585,27681775,27681775,27681775,27771911,27914240,28048190,28180861
Ghana,161443,161481,161481,161481,161795,161795,161841,161841,161841,161841,161841,161935,161935,162646,163191,163332,163332,163332,163666,164164,164164,164541,164612,164843,164843,164843,165749,165749,166133,166133
Greece,3457256,3461025,3464666,3467979,3470640,3473141,3478779,3483275,3487775,3492268,3496807,3500489,3500489,3508610,3517898,3525056,3532260,3539423,3545112,3549944,3562524,3573052,3583526,3595498,3607580,3616874,3624556,3644889,3661004,3676502
Grenada,17750,17833,17866,17866,17866,17866,17948,17948,18035,18035,18035,18035,18035,18115,18115,18115,18115,18115,18115,18115,18205,18205,18243,18243,18270,18270,18270,18270,18270,18357
Guatemala,861916,862756,863595,864560,864662,864768,865900,867301,868360,868360,870897,871112,871263,872788,874926,876499,878401,880169,880467,880715,880715,886747,889913,893071,896133,896850,897462,901300,905642,910714
Guinea,36764,36764,36764,36764,36764,36764,36764,36764,36817,36817,36817,36817,36817,36817,36817,36817,36817,36817,36817,36817,36817,36817,36817,36817,36817,36817,36817,36817,36817,36817
Guinea-Bissau,8269,8283,8283,8283,8283,8283,8290,8290,8297,8305,8305,8306,8306,8307,8307,8307,8307,8307,8307,8307,8347,8347,8347,8348,8348,8348,8348,8348,8348,8348
Guyana,64969,65075,65148,65243,65272,65294,65422,65560,65714,65799,65859,65892,65926,66009,66129,66300,66385,66456,66491,66506,66588,66695,66835,66947,67058,67099,67114,67221,67325,67395
Haiti,30905,30924,30940,30952,30963,30970,30985,31004,31025,31034,31054,31075,31092,31115,31133,31163,31195,31200,31226,31242,31248,31301,31355,31410,31470,31470,31550,31603,31656,31677
Holy See,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29
Honduras,425371,425371,425371,425417,425471,425471,425471,425471,425564,425564,425564,425655,425655,425655,425655,425930,426095,426095,426095,426095,426095,426095,426095,426490,426490,426490,426879,426879,427355,427355
Hungary,1919840,1919840,1919840,1919840,1919840,1919840,1919840,1921486,1921486,1921486,1921486,1921486,1921486,1921486,1923122,1923122,1923122,1923122,1923122,1923122,1923122,1925083,1925083,1925083,1925083,1925083,1925083,1925083,1928125,1928125
Iceland,188291,188291,188924,188924,188924,188924,189319,189319,189319,190014,190014,190014,190014,190643,190643,191079,191079,191079,191079,191079,192031,192031,192031,192991,192991,192991,192991,193987,193987,193987
India,43164544,43168585,43172547,43176817,43181335,43185049,43190282,43197522,43205106,43213435,43222017,43230101,43236695,43245517,43257730,43270577,43283793,43296692,43309473,43319396,43331645,43344958,43362294,43378234,43389973,43407046,43418839,43433345,43452164,43469234
Indonesia,6055341,6055645,6056017,6056412,6056800,6057142,6057660,6058180,6058736,6059363,6059937,6060488,6061079,6062009,6063251,6064424,6065644,6066908,6068075,6069255,6070933,6072918,6074825,6076894,6078725,6080451,6081896,6084063,6086212,6088460
Iran,7232268,7232443,7232614,7232678,7232731,7232790,7232929,7233117,7233319,7233472,7233528,7233688,7233880,7234042,7234221,7234367,7234523,7234597,7234757,7234988,7235175,7235440,7235696,7235928,7236064,7236361,7236713,7237156,7237597,7238126
Iraq,2328264,2328369,2328498,2328582,2328670,2328787,2328957,2329108,2329313,2329525,2329662,2329813,2330049,2330393,2330735,2331148,2331487,2331872,2332177,2332692,2333443,2334375,2335436,2336764,2338109,2339148,2341053,2343265,2345893,2348662
Ireland,1565970,1565970,1565970,1565970,1565970,1565970,1565970,1570519,1570519,1570519,1570519,1570519,1570519,1570519,1578284,1578284,1578284,1578284,1578284,1578284,1578284,1587385,1587385,1587385,1587385,1587385,1587385,1587385,1600614,1600614
Israel,4143714,4146176,4146176,4146176,4151978,4154558,4159589,4164474,4169330,4175644,4179780,4183477,4189850,4198194,4205416,4209564,4220524,4226245,4233759,4244453,4255122,4265869,4275786,4286123,4293073,4301600,4316205,4328732,4338698,4353033
Italy,17440232,17457950,17467642,17490451,17505973,17514589,17543136,17566061,17589595,17611607,17634065,17653375,17664043,17703887,17736696,17773764,17809934,17844905,17879160,17896065,17959329,18014202,18071634,18128044,18184917,18234242,18259261,18343422,18438877,18523111
Jamaica,137396,137724,138110,138110,138110,139029,139203,139456,139456,139918,140203,140463,140670,140754,140874,141026,141306,141306,141306,141720,141781,141873,142011,142161,142161,142440,142558,142626,142683,142804
Japan,8876113,8896430,8915687,8933945,8949039,8958140,8975161,8993568,9010356,9025940,9041278,9054719,9062661,9077975,9094519,9110063,9124760,9139597,9152738,9160533,9175927,9193205,9209862,9225840,9242413,9256660,9266214,9285592,9308916,9332302
Jordan,1696937,1696937,1696937,1696937,1696937,1697271,1697271,1697271,1697271,1697271,1697271,1697271,1697271,1697673,1697673,1697673,1697673,1697673,1697673,1698316,1698316,1698316,1698316,1698316,1698316,1698316,1699197,1699197,1699197,1699197
Kazakhstan,1394918,1394918,1394935,1394944,1394944,1394964,1394997,1394997,1395013,1395027,1395039,1395055,1395061,1395068,1395085,1395102,1395123,1395148,1395167,1395200,1395200,1395236,1395281,1395337,1395399,1395466,1395533,1395594,1395849,1395849
Kenya,325070,325170,325320,325442,325554,325634,325797,326015,326217,326449,326737,326932,327145,327425,327892,328319,328709,329107,329353,329605,330024,330478,331037,331539,331966,332227,332459,332898,333290,333694
Kiribati,3098,3098,3098,3098,3161,3161,3183,3183,3183,3204,3204,3204,3209,3215,3215,3215,3215,3215,3215,3215,3215,3215,3215,3236,3236,3236,3236,3236,3236,3236
"Korea, North",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Korea, South",18129313,18141835,18153851,18163686,18168708,18174880,18188200,18200346,18209650,18218078,18225460,18229288,18239056,18248479,18256457,18263643,18270481,18276552,18280090,18289373,18298341,18305783,18312993,18319773,18326019,18329448,18339319,18349756,18359341,18368857
Kosovo,228373,228378,228387,228393,228397,228397,228397,228407,228412,228420,228430,228438,228442,228450,228465,228482,228507,228523,228540,228550,228563,228606,228635,228673,228673,228673,228809,228873,229050,229199
Kuwait,633225,633225,633225,633225,634067,634067,634537,634537,635045,635045,635868,636240,636240,637061,637470,637470,638327,638708,638708,639290,639290,640857,640857,641678,641985,641985,643004,643004,643004,643004
Kyrgyzstan,200993,200993,200993,200993,200993,200993,200993,200993,200993,200993,200993,200993,200993,200993,201016,201016,201016,201016,201016,201016,201016,201024,201024,201024,201024,201024,201024,201053,201053,201053
Laos,210026,210045,210061,210069,210081,210083,210098,210108,210129,210138,210136,210147,210158,210164,210173,210173,210180,210194,210194,210208,210214,210214,210222,210233,210238,210247,210251,210258,210278,210292
Latvia,828822,828998,829143,829143,829143,829425,829640,829851,830076,830281,830281,830281,830698,830977,831248,831521,831727,831727,831727,832168,832485,832884,832884,832884,832884,832884,833711,834535,835152,835797
Lebanon,1099265,1099368,1099368,1099745,1099745,1099896,1099896,1100007,1100202,1100202,1100871,1101109,1101247,1101508,1101508,1101508,1102774,1103264,1103264,1103711,1104268,1105129,1105959,1106766,1107602,1108213,1108213,1109423,1110822,1112199
Lesotho,33358,33562,33562,33562,33562,33562,33562,33690,33746,33746,33746,33746,33746,33746,33746,33746,33746,33746,33746,33938,33938,33938,33938,33938,33938,33938,33938,33938,33938,33938
Liberia,7456,7456,7456,7456,7456,7456,7456,7456,7456,7459,7459,7459,7459,7460,7460,7489,7489,7489,7489,7493,7493,7493,7493,7493,7493,7493,7493,7493,7493,7497
Libya,502016,502016,502016,502016,502016,502040,502040,502040,502040,502040,502040,502040,502076,502076,502076,502076,502076,502076,502076,502110,502110,502110,502110,502110,502110,502110,502138,502138,502138,502138
Liechtenstein,17507,17512,17532,17532,17532,17532,17568,17583,17590,17605,17605,17605,17628,17628,17653,17653,17653,17653,17653,17706,17738,17774,17779,17814,17814,17814,17814,17860,17897,17903
Lithuania,1155082,1155246,1155399,1155539,1155571,1155584,1155804,1156022,1156229,1156451,1156634,1156670,1156693,1156980,1157248,1157492,1157689,1157928,1157973,1157997,1158394,1158727,1159082,1159413,1159452,1159507,1159567,1160189,1160680,1161146
Luxembourg,248279,248702,248972,248972,248972,249319,249319,249939,251873,251873,251873,251873,251873,252693,253318,254173,254865,254865,254865,255469,256678,257503,258467,258467,258467,258467,258467,261163,263167,263387
MS Zaandam,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Madagascar,64377,64377,64377,64377,64377,64478,64478,64478,64478,64478,64478,64685,64685,64685,64685,64685,64685,64685,65009,65009,65009,65009,65009,65009,65009,65381,65381,65381,65381,65381
Malawi,85991,85995,86001,86011,86011,86022,86036,86043,86058,86075,86090,86107,86107,86134,86146,86162,86189,86202,86204,86225,86249,86287,86320,86348,86348,86348,86410,86448,86478,86506
Malaysia,4508319,4510196,4512040,4513631,4514989,4516319,4517447,4518965,4520852,4523018,4524727,4526298,4528390,4530312,4532632,4534665,4536795,4538922,4540612,4542705,4544626,4547051,4549847,4552359,4554661,4556664,4558558,4560583,4563188,4566055
Maldives,179753,179753,179753,179753,179753,179837,179837,179837,179837,179837,179837,179837,179979,179979,179979,179979,179979,179979,179979,180384,180384,180384,180384,180384,180384,180384,181586,181586,181586,181586
Mali,31102,31103,31108,31109,31110,31111,31115,31118,31120,31122,31122,31125,31127,31132,31134,31135,31136,31137,31137,31140,31142,31147,31149,31150,31153,31156,31158,31160,31163,31165
Malta,94857,94950,95068,95144,95210,95272,95365,95467,95642,95829,95995,96148,96290,96490,96763,97018,97278,97557,97872,98105,98593,99116,99659,100138,100594,101036,101453,102023,102593,103132
Marshall Islands,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
Mauritania,59154,59168,59174,59183,59199,59205,59212,59220,59224,59231,59238,59247,59252,59260,59275,59283,59289,59293,59304,59310,59324,59348,59376,59401,59428,59451,59494,59569,59677,59814
Mauritius,225862,226851,226851,226851,226851,226851,226851,226851,226851,226851,226851,226851,227442,227442,227442,227442,227442,227442,227442,227442,227442,227442,229479,229479,229479,229479,229479,229479,229479,231036
Mexico,5779027,5782405,5782405,5789401,5791282,5792317,5797427,5802672,5802672,5814866,5821262,5823844,5823844,5833738,5843190,5852596,5852596,5852596,5875705,5877837,5891589,5891589,5906953,5923086,5956732,5962615,5965958,5986917,5986917,6034602
Micronesia,30,30,30,30,31,34,34,35,35,35,35,35,35,35,35,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38
Moldova,518967,518967,518967,518967,518967,519001,519001,519228,519228,519228,519228,519228,519234,519234,519452,519452,519452,519452,519452,519452,519452,519703,519741,519741,519741,519741,519741,520168,520321,520321
Monaco,12230,12258,12284,12300,12306,12319,12360,12387,12420,12451,12486,12489,12514,12514,12550,12581,12581,12616,12616,12616,12672,12715,12746,12769,12808,12808,12887,12887,12945,13006
Mongolia,925073,925149,925227,925433,926282,927272,927272,927272,927272,927272,927272,927272,928013,928013,928013,928013,928013,928013,928586,928586,928586,928586,928586,928586,928586,928586,928586,928586,928586,928586
Montenegro,237287,237355,237421,237486,237534,237563,237634,237688,237737,237793,237848,237901,237945,238043,238123,238217,238315,238416,238486,238549,238662,238807,238925,239107,239291,239458,239552,239552,239989,240222
Morocco,1168664,1169057,1169482,1169920,1170194,1170427,1171034,1171972,1172938,1174028,1175104,1175604,1176165,1177842,1179474,1181042,1182776,1184732,1185990,1186597,1189656,1192797,1195883,1199226,1202461,1204578,1205293,1209302,1212906,1216909
Mozambique,225781,225781,225835,225933,225933,225984,226065,226148,226233,226325,226428,226463,226481,226631,226749,226877,226975,227083,227127,227161,227255,227351,227435,227527,227616,227644,227660,227725,227819,227919
Namibia,166659,166859,166859,166859,167498,167565,167565,167565,167565,167565,168320,168403,168448,168448,168591,168695,168761,168851,168868,168904,168904,168904,169007,169007,169076,169076,169076,169076,169076,169179
Nauru,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,13,350,401,683,874,874,874,2115,2405,2793,3174,3394
