Country_Region,2022/06/01,2022/06/02,2022/06/03,2022/06/04,2022/06/05,2022/06/06,2022/06/07,2022/06/08,2022/06/09,2022/06/10,2022/06/11,2022/06/12,2022/06/13,2022/06/14,2022/06/15,2022/06/16,2022/06/17,2022/06/18,2022/06/19,2022/06/20,2022/06/21,2022/06/22,2022/06/23,2022/06/24,2022/06/25,2022/06/26,2022/06/27,2022/06/28,2022/06/29,2022/06/30
Sao Tome and Principe,5991,5991,5991,5991,5991,6003,6003,6003,6003,6003,6003,6003,6010,6010,6010,6010,6010,6010,6010,6023,6023,6023,6023,6023,6023,6023,6043,6043,6043,6043
Saudi Arabia,768648,769423,770085,770650,771302,772269,773221,774250,775205,776137,776890,777795,778983,780135,781168,782131,783076,783907,784837,786069,787212,788294,788294,788294,788294,791784,792860,793729,794488,795186
Senegal,86117,86118,86126,86133,86135,86137,86140,86142,86147,86150,86150,86150,86170,86175,86186,86201,86201,86201,86201,86230,86231,86243,86254,86266,86275,86280,86286,86289,86305,86325
Serbia,2017703,2017945,2018216,2018437,2018609,2018890,2019171,2019429,2019706,2019978,2020173,2020338,2020596,2020952,2021264,2021601,2021926,2022252,2022494,2022902,2023409,2023889,2024455,2025042,2025577,2026045,2026796,2027606,2028482,2029403
Seychelles,44016,44089,44145,44145,44145,44199,44199,44199,44199,44363,44363,44363,44363,44397,44397,44397,44521,44521,44521,44521,44521,44669,44669,44669,44669,44669,44669,44669,44669,44669
Sierra Leone,7682,7682,7682,7682,7682,7682,7682,7683,7683,7683,7683,7684,7685,7685,7685,7685,7688,7688,7688,7688,7688,7693,7693,7693,7693,7694,7694,7695,7695,7695
Singapore,1306871,1310616,1313849,1316728,1318984,1321146,1325623,1329225,1332656,1335625,1338753,1341256,1343645,1348775,1352681,1355801,1360780,1364562,1367761,1370981,1378090,1383952,1390558,1397074,1403242,1408358,1413667,1425171,1434563,1444068
Slovakia,2542773,2542970,2543160,2543341,2543439,2543503,2543763,2543993,2544255,2544473,2544678,2544678,2544823,2545137,2545409,2545651,2545879,2546134,2546134,2546346,2546800,2547229,2547645,2548069,2548586,2548819,2548964,2549692,2550368,2551116
Slovenia,1025367,1025656,1025913,1025913,1026292,1026372,1026834,1026834,1027524,1027821,1027821,1027821,1028376,1028943,1029415,1029887,1030354,1030354,1030354,1031216,1032072,1032748,1033524,1034172,1034172,1034172,1035420,1036653,1037714,1038716
Solomon Islands,21237,21237,21237,21237,21237,21237,21237,21237,21237,21237,21237,21237,21237,21237,21237,21237,21544,21544,21544,21544,21544,21544,21544,21544,21544,21544,21544,21544,21544,21544
Somalia,26565,26565,26565,26565,26565,26565,26565,26565,26565,26565,26565,26565,26675,26675,26675,26675,26675,26675,26675,26748,26748,26748,26748,26748,26748,26748,26803,26803,26803,26803
South Africa,3960424,3963394,3965422,3967078,3968205,3968205,3970993,3973086,3975062,3976653,3977628,3978590,3979126,3979836,3981739,3983675,3984646,3984646,3986601,3986892,3986892,3989007,3990057,3991003,3991944,3992449,3992661,3993004,3993444,3993444
South Sudan,17617,17625,17626,17626,17626,17630,17630,17630,17630,17644,17644,17644,17644,17659,17675,17679,17697,17697,17697,17697,17697,17697,17697,17697,17697,17697,17697,17722,17722,17722
Spain,12360256,12360256,12403245,12403245,12403245,12403245,12436538,12436538,12436538,12478994,12478994,12478994,12478994,12515127,12515127,12515127,12563399,12563399,12563399,12563399,12613634,12613634,12613634,12681820,12681820,12681820,12681820,12734038,12734038,12734038
Sri Lanka,663838,663845,663853,663862,663869,663884,663895,663901,663917,663922,663937,663950,663960,663965,663965,663975,663984,663984,663989,664010,664018,664036,664047,664052,664065,664080,664090,664098,664110,664123
Sudan,62374,62374,62374,62374,62374,62382,62399,62444,62444,62444,62444,62444,62475,62475,62489,62489,62489,62489,62489,62521,62533,62541,62551,62551,62551,62551,62551,62551,62624,62624
Summer Olympics 2020,865,865,865,865,865,865,865,865,865,865,865,865,865,865,865,865,865,865,865,865,865,865,865,865,865,865,865,865,865,865
Suriname,80547,80547,80547,80547,80547,80547,80673,80673,80673,80673,80673,80673,80673,80766,80766,80766,80766,80766,80766,80766,80817,80817,80817,80817,80817,80817,80817,80864,80864,80864
Sweden,2507948,2509366,2509366,2509366,2509366,2509366,2509366,2509366,2510930,2510930,2510930,2510930,2510930,2510930,2510930,2512853,2512853,2512853,2512853,2512853,2512853,2512853,2515769,2515769,2515769,2515769,2515769,2515769,2515769,2519199
Switzerland,3674986,3674986,3674986,3674986,3674986,3674986,3685281,3685281,3685281,3685281,3685281,3685281,3685281,3701895,3701895,3701895,3701895,3701895,3701895,3701895,3726615,3726615,3726615,3726615,3726615,3726615,3726615,3759730,3759730,3759730
Syria,55893,55894,55894,55894,55894,55898,55899,55900,55901,55904,55904,55904,55907,55908,55909,55912,55913,55913,55913,55916,55917,55918,55919,55920,55920,55920,55923,55925,55926,55927
Taiwan*,2121231,2198161,2274666,2342794,2404871,2457881,2540871,2620941,2693787,2762080,2841696,2892263,2937363,3003501,3072432,3135565,3190787,3244453,3295076,3330695,3387061,3439279,3487599,3533335,3573703,3613345,3641921,3686338,3728363,3767283
Tajikistan,17786,17786,17786,17786,17786,17786,17786,17786,17786,17786,17786,17786,17786,17786,17786,17786,17786,17786,17786,17786,17786,17786,17786,17786,17786,17786,17786,17786,17786,17786
Tanzania,35354,35354,35354,35354,35354,35354,35354,35354,35354,35354,35354,35354,35354,35354,35354,35354,35354,35354,35354,35354,35354,35366,35366,35366,35366,35366,35366,35366,35366,35768
Thailand,4455020,4457580,4460556,4463557,4466793,4468955,4471179,4473867,4477052,4479888,4482389,4484863,4486664,4488497,4490760,4492913,4494880,4497152,4499044,4500828,4502542,4504929,4507228,4509541,4511777,4514155,4515890,4517651,4520220,4522915
Timor-Leste,22916,22917,22921,22921,22925,22927,22928,22929,22931,22931,22931,22931,22933,22940,22944,22944,22944,22944,22944,22944,22945,22945,22947,22949,22950,22950,22951,22954,22957,22957
Togo,37097,37110,37116,37116,37131,37131,37142,37154,37166,37176,37176,37196,37200,37210,37220,37220,37231,37242,37247,37263,37263,37282,37299,37299,37328,37348,37361,37361,37382,37403
Tonga,11742,11742,11769,11769,11769,11769,11890,11909,11909,11909,11909,11909,11909,11909,11909,11909,12079,12079,12079,12079,12079,12079,12079,12079,12079,12079,12301,12301,12301,12301
Trinidad and Tobago,161790,162187,162441,162756,162849,162945,163178,163507,163885,164315,164506,164723,164829,164950,165144,165468,165600,165706,165807,165908,166053,166290,166420,166576,166682,166712,166712,166900,166979,167097
Tunisia,1042872,1042872,1042872,1042872,1042872,1042872,1043540,1043540,1043540,1043540,1043540,1043540,1043540,1044426,1044426,1044426,1044426,1044426,1044426,1044426,1046703,1046703,1046703,1046703,1046703,1046703,1046703,1046703,1052180,1052180
Turkey,15072747,15072747,15072747,15072747,15078186,15078186,15078186,15078186,15078186,15078186,15078186,15078186,15078186,15085742,15085742,15085742,15085742,15085742,15085742,15085742,15085742,15085742,15085742,15085742,15085742,15085742,15096696,15096696,15123331,15123331
Tuvalu,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
US,84556346,84678666,84835652,84863797,84880180,85040000,85126635,85325235,85457174,85563335,85598730,85616604,85768172,85858349,86043237,86173269,86312081,86329874,86348026,86444069,86555254,86740614,86879321,86996527,87037642,87060105,87220041,87317851,87507744,87675497
Uganda,164366,164366,164366,164366,164366,165700,165734,165803,165927,166046,166121,166237,166319,166378,166497,166593,166725,166809,166920,166954,166996,167122,167217,167301,167367,167452,167511,167511,167646,167719
Ukraine,5244223,5244223,5244223,5244223,5244223,5245823,5245823,5245823,5245823,5245823,5245823,5245823,5284337,5284385,5284420,5284484,5284534,5284597,5284629,5285704,5285730,5285764,5285796,5285836,5285871,5285909,5286931,5286959,5286989,5287020
United Arab Emirates,908647,909222,909815,910338,910935,911514,912086,912953,913984,915068,916247,917496,918815,920171,921566,923001,924434,925898,927387,928919,930475,932067,933688,935345,937037,938759,940503,942253,944022,945800
United Kingdom,22492903,22493305,22493328,22493328,22493328,22526949,22537186,22551660,22562275,22571880,22571880,22571882,22600145,22612173,22638832,22651908,22664434,22664435,22664435,22701557,22717987,22751393,22769958,22786431,22786805,22786805,22834153,22855565,22895669,22918904
Uruguay,925777,925777,925777,925777,925777,925777,934961,934961,934961,934961,934961,934961,943877,943877,943877,943877,943877,943877,943877,951948,951948,951948,951948,951948,951948,951948,957629,957629,957629,957629
Uzbekistan,239046,239059,239077,239092,239092,239135,239141,239159,239182,239203,239236,239236,239272,239280,239319,239376,239435,239525,239525,239726,239813,239895,239993,240087,240206,240345,240478,240569,240667,240764
Vanuatu,9223,9438,9445,9445,9445,10061,10239,10338,10390,10390,10390,10497,10575,10695,10757,10791,10856,10857,10924,10924,10989,11026,11033,11044,11044,11173,11174,11206,11266,11266
Venezuela,523710,523710,523769,523833,523901,523937,523969,523969,524085,524152,524152,524291,524321,524321,524370,524488,524718,524823,524911,524978,525105,525105,525340,525539,525716,525782,525827,525827,526022,526022
Vietnam,10720426,10722634,10723673,10724554,10725239,10726045,10727005,10727918,10728720,10729681,10731244,10731812,10732429,10733285,10734151,10734925,10736408,10737107,10737640,10738161,10738909,10739855,10740595,10742234,10742891,10743448,10744085,10744854,10745631,10746470
West Bank and Gaza,657705,657705,657705,657705,657705,657705,657879,657879,657879,657879,657879,657879,657879,657879,658100,658100,658100,658100,658100,658503,658503,658503,658503,658503,658503,658503,659853,659853,659853,659853
Winter Olympics 2022,535,535,535,535,535,535,535,535,535,535,535,535,535,535,535,535,535,535,535,535,535,535,535,535,535,535,535,535,535,535
Yemen,11822,11822,11822,11822,11822,11822,11822,11822,11822,11822,11822,11822,11822,11822,11822,11822,11823,11823,11823,11823,11824,11824,11824,11824,11824,11824,11824,11824,11824,11824
Zambia,321915,321915,322207,322207,322207,322207,322562,322790,322919,323058,323058,323058,323283,323337,323654,323654,324025,324025,324288,324344,324558,324558,324922,325110,325110,325110,325348,325498,325498,325857
Zimbabwe,252874,253051,253236,253236,253338,253508,253637,253779,253779,254031,254031,254098,254155,254155,254387,254502,254753,254753,254801,254831,254919,255049,255136,255309,255309,255355,255383,255383,255520,255586
