Country_Region,2022/11/01,2022/11/02,2022/11/03,2022/11/04,2022/11/05,2022/11/06,2022/11/07,2022/11/08,2022/11/09,2022/11/10,2022/11/11,2022/11/12,2022/11/13
Mauritius,265301,265301,265301,265301,265301,265301,266489,266489,266489,268397,268397,268397,268397
Mexico,7110993,7112504,7112504,7113658,7113658,7113658,7113429,7113429,7115535,7116424,7116424,7116424,7116424
Micronesia,22203,22203,22203,22203,22203,22203,22203,22203,22203,22203,22203,22203,22203
Moldova,593816,593816,593816,593816,593816,593816,593816,594163,594163,594163,594163,594163,594163
Monaco,14963,14963,14988,15005,15005,15005,15005,15027,15057,15057,15071,15071,15071
Mongolia,984823,985112,985282,985445,985445,985445,985652,986190,986599,986599,986599,986599,986599
Montenegro,282843,282911,282973,283011,283055,283089,283117,283146,283192,283240,283268,283300,283320
Morocco,1265650,1265732,1265788,1265876,1265965,1265998,1266009,1266104,1266231,1266350,1266458,1266561,1266617
Mozambique,230475,230475,230475,230475,230475,230475,230475,230475,230475,230475,230475,230475,230475
Namibia,169946,169946,169946,169946,169946,169946,169946,169946,169946,169946,169946,169946,169946
Nauru,4611,4611,4611,4611,4611,4611,4611,4611,4611,4611,4611,4611,4611
Nepal,1000585,1000631,1000676,1000698,1000708,1000734,1000749,1000759,1000766,1000775,1000784,1000792,1000806
Netherlands,8628718,8628802,8628802,8632865,8632865,8632865,8632865,8636513,8636513,8636598,8639735,8639735,8639735
New Zealand,1858163,1858163,1858163,1858163,1858163,1878933,1878933,1878933,1878933,1878933,1878933,1878933,1900505
Nicaragua,15166,15186,15186,15186,15186,15186,15186,15186,15203,15203,15203,15203,15203
Niger,9428,9428,9428,9428,9428,9428,9428,9430,9430,9430,9430,9430,9430
Nigeria,266138,266138,266138,266138,266192,266192,266192,266192,266192,266192,266192,266242,266242
North Macedonia,344146,344146,344146,344146,344146,344146,344146,344146,344342,344342,344342,344342,344342
Norway,1465102,1465238,1465398,1465523,1465584,1465631,1465824,1465992,1466164,1466313,1466466,1466523,1466568
Oman,398775,398775,398775,398775,398775,398775,398775,398775,398775,398775,398775,398775,398775
Pakistan,1574094,1574167,1574275,1574321,1574321,1574407,1574407,1574432,1574508,1574549,1574549,1574638,1574679
Palau,5513,5513,5513,5513,5513,5513,5530,5530,5530,5530,5530,5530,5572
Panama,990413,990413,990413,990413,990413,990413,991251,991251,991251,991251,991251,991251,991251
Papua New Guinea,45465,45518,45550,45550,45550,45550,45629,45638,45691,45691,45721,45721,45721
Paraguay,717955,717955,717955,717980,717980,717980,717980,717980,717980,717980,718049,718049,718049
Peru,4157569,4158534,4159132,4159132,4161218,4161617,4161769,4163326,4165187,4167290,4169751,4171838,4172486
Philippines,4005157,4005840,4006635,4007318,4008550,4009466,4011026,4011625,4012868,4014039,4015266,4016401,4018253
Poland,6341296,6341449,6342404,6343097,6343675,6343775,6343905,6344651,6345188,6345679,6346155,6346228,6346312
Portugal,5520731,5520731,5520731,5520731,5520731,5525459,5527261,5527261,5528365,5528365,5528365,5531172,5531172
Qatar,469709,470098,470433,470756,471004,471357,471816,472226,472587,472927,473234,473440,473694
Romania,3287394,3287870,3288315,3288685,3288755,3289184,3289442,3290030,3290564,3290987,3291348,3291589,3291730
Russia,21129849,21136186,21142507,21148598,21154149,21158672,21163061,21167353,21172652,21178202,21183691,21189139,21194442
Rwanda,132584,132584,132584,132584,132584,132584,132584,132611,132611,132611,132611,132611,132611
Saint Kitts and Nevis,6548,6548,6549,6549,6549,6549,6549,6549,6549,6551,6552,6552,6552
Saint Lucia,29654,29654,29654,29654,29654,29654,29654,29654,29654,29654,29676,29676,29676
Saint Vincent and the Grenadines,9457,9459,9459,9459,9459,9459,9459,9459,9459,9459,9459,9459,9459
Samoa,15946,15946,15946,15946,15946,15946,15949,15949,15949,15949,15949,15949,15949
San Marino,21604,21604,21627,21662,21662,21662,21681,21723,21739,21739,21739,21739,21739
Sao Tome and Principe,6270,6270,6270,6270,6270,6270,6270,6275,6275,6275,6275,6275,6275
Saudi Arabia,822718,822976,823203,823388,823494,823624,823834,824003,824151,824273,824377,824438,824513
Senegal,88679,88679,88679,88679,88679,88679,88817,88817,88817,88826,88832,88832,88832
Serbia,2405146,2406002,2406834,2407595,2408130,2408606,2409415,2410231,2410954,2411691,2412298,2412750,2413142
Seychelles,49035,49035,49035,49380,49380,49380,49380,49380,49380,49380,49380,49380,49380
Sierra Leone,7754,7754,7754,7754,7754,7754,7754,7754,7754,7758,7758,7758,7758
Singapore,2108024,2112110,2115621,2118749,2121435,2123328,2125004,2128572,2131554,2134319,2136658,2138598,2140099
Slovakia,2643658,2643774,2644213,2644627,2644984,2645118,2645192,2645588,2645927,2646203,2646511,2646740,2646860
Slovenia,1233870,1234223,1235756,1236787,1237624,1237884,1238191,1239383,1240194,1240891,1241455,1242130,1242314
Solomon Islands,21544,21544,21544,21544,21544,21544,21544,21544,21544,21544,21544,21544,21544
Somalia,27237,27243,27243,27243,27243,27243,27254,27254,27254,27254,27254,27254,27254
South Africa,4028651,4029027,4029496,4029737,4029737,4029942,4030660,4031096,4031624,4032109,4032718,4033182,4033182
South Sudan,17823,18318,18318,18318,18318,18318,18325,18325,18325,18325,18325,18325,18325
Spain,13511768,13511768,13511768,13529643,13529643,13529643,13529643,13529643,13529643,13529643,13543816,13551539,13551539
Sri Lanka,671110,671125,671302,671310,671320,671328,671334,671350,671354,671369,671384,671406,671417
Sudan,63481,63509,63509,63509,63509,63509,63518,63558,63558,63561,63561,63561,63561
Summer Olympics 2020,865,865,865,865,865,865,865,865,865,865,865,865,865
Suriname,81228,81228,81228,81228,81228,81228,81228,81228,81228,81228,81228,81228,81228
Sweden,2611580,2611580,2614997,2614997,2614997,2614997,2614997,2614997,2614997,2618688,2618688,2618688,2618688
Switzerland,4255891,4255891,4255891,4255891,4255891,4255891,4255891,4276848,4276848,4276848,4276848,4276848,4276848
Syria,57362,57364,57365,57367,57367,57367,57371,57372,57374,57377,57378,57378,57378
Taiwan*,7746969,7780125,7810077,7837658,7863193,7887538,7904094,7929052,7953885,7976205,7996490,8015698,8034295
Tajikistan,17786,17786,17786,17786,17786,17786,17786,17786,17786,17786,17786,17786,17786
Tanzania,40054,40054,40054,40054,40054,40054,40054,40054,40054,40152,40152,40152,40152
Thailand,4692448,4692448,4692448,4692448,4692448,4695207,4695207,4695207,4695207,4695207,4695207,4695207,4698373
Timor-Leste,23301,23303,23303,23303,23303,23303,23305,23310,23312,23312,23312,23312,23312
Togo,39300,39304,39304,39310,39310,39311,39312,39314,39314,39316,39317,39319,39319
Tonga,16182,16182,16182,16182,16182,16182,16182,16182,16182,16182,16182,16182,16182
Trinidad and Tobago,184854,184854,184854,184854,184854,184854,184854,184949,184949,184949,184949,184949,184949
Tunisia,1146593,1146593,1146593,1146593,1146593,1146593,1146593,1146702,1146702,1146702,1146702,1146702,1146702
Turkey,16919638,16919638,16919638,16919638,16919638,16919638,16919638,16919638,16919638,16919638,16919638,16919638,16919638
Tuvalu,23,23,23,23,163,163,163,163,466,466,466,466,1259
US,97540814,97614852,97685695,97724406,97729710,97737841,97778514,97809969,97907293,97973635,97986819,97992088,97994731
Uganda,169473,169473,169473,169473,169473,169473,169473,169473,169473,169473,169473,169473,169473
Ukraine,5601163,5601211,5617643,5617701,5617767,5617810,5617842,5617870,5617906,5617950,5618015,5618081,5618142
United Arab Emirates,1037929,1038228,1038538,1038816,1039090,1039353,1039613,1039867,1040133,1040384,1040604,1040821,1041027
United Kingdom,24122922,24123152,24154796,24155154,24155154,24155154,24155192,24155262,24155358,24179611,24179656,24179656,24179656
Uruguay,990560,990560,990560,990560,990560,990560,991219,991219,991219,991219,991219,991219,991219
Uzbekistan,244648,244664,244716,244739,244739,244739,244827,244864,244878,244878,244878,244878,244878
Vanuatu,11981,11981,11981,11981,11981,11981,11981,11981,11981,11981,11981,11981,11981
Venezuela,545899,545926,545951,545963,546047,546110,546110,546122,546202,546202,546262,546384,546384
Vietnam,11503334,11504091,11504910,11505249,11505608,11505849,11506214,11506656,11507124,11507540,11508170,11508447,11508689
West Bank and Gaza,703036,703036,703036,703036,703036,703036,703036,703036,703036,703036,703036,703036,703036
Winter Olympics 2022,535,535,535,535,535,535,535,535,535,535,535,535,535
Yemen,11939,11944,11944,11945,11945,11945,11945,11945,11945,11945,11945,11945,11945
Zambia,333681,333684,333685,333685,333685,333685,333685,333685,333685,333685,333685,333685,333685
Zimbabwe,257893,257893,257893,257893,257893,257893,257893,257893,257893,257893,257893,257893,257893
