Country_Region,2022/03/01,2022/03/02,2022/03/03,2022/03/04,2022/03/05,2022/03/06,2022/03/07,2022/03/08,2022/03/09,2022/03/10,2022/03/11,2022/03/12,2022/03/13,2022/03/14,2022/03/15,2022/03/16,2022/03/17,2022/03/18,2022/03/19,2022/03/20,2022/03/21,2022/03/22,2022/03/23,2022/03/24,2022/03/25,2022/03/26,2022/03/27,2022/03/28,2022/03/29,2022/03/30,2022/03/31
US,79228526,79281550,79330037,79388536,79403803,79416427,79469905,79499241,79536136,79581803,79630563,79641081,79652389,79686659,79710172,79761407,79813432,79845064,79856186,79867851,79908896,79930125,79970024,80012075,80056490,80066185,80078221,80115933,80138992,80177109,80221659
Uganda,163342,163342,163383,163383,163383,163383,163402,163416,163454,163513,163529,163529,163529,163541,163597,163609,163627,163634,163635,163688,163768,163768,163775,163817,163830,163843,163862,163869,163878,163892,163905
Ukraine,5073037,5079916,5086452,5093353,5099723,5103154,5105901,5110233,5113255,5119367,5125225,5131059,5135046,5137302,5143422,5148651,5153795,5158926,5163689,5165928,5167659,5172101,5176322,5180177,5183807,5187213,5188740,5189976,5192611,5195136,5197694
United Arab Emirates,880451,880970,881472,881919,882477,882884,883270,883593,883985,884354,884736,885089,885407,885703,885983,886301,886687,887018,887385,887732,888070,888386,888718,889108,889456,889797,890112,890398,890699,890987,891300
United Kingdom,19120746,19166049,19211944,19256835,19256835,19256835,19383743,19446892,19515547,19600293,19673347,19673347,19673347,19845016,19965698,20059641,20150847,20243940,20243940,20243940,20470351,20566021,20669099,20770686,20848912,20848913,20848913,21064311,21145773,21234719,21309769
Uruguay,844400,846868,849050,851241,853170,854375,855883,857635,859165,860663,862153,863365,864376,865644,867282,868952,871081,872938,874404,875313,876400,877763,879618,881152,882379,883354,884081,884742,885980,887028,887935
Uzbekistan,236501,236596,236687,236771,236840,236899,236967,236994,237045,237059,237129,237169,237238,237260,237281,237341,237384,237414,237438,237476,237508,237520,237527,237533,237542,237589,237641,237679,237687,237710,237749
Vanuatu,18,18,18,18,18,18,42,52,95,102,164,207,207,259,341,386,473,480,480,753,1025,1117,1373,1704,1963,2204,2204,2633,2712,3128,3379
Venezuela,515124,515582,515943,516236,516578,516817,516817,516966,517164,517720,517720,517999,518410,518410,518460,519059,519059,519245,519420,519670,519724,519797,519797,519872,520038,520077,520113,520169,520169,520373,520373
Vietnam,3557629,3709481,3885631,4059262,4232520,4434700,4582058,4776873,5042036,5260495,5448935,5903147,6112648,6377438,6552918,6820458,7174423,7367112,7791841,7958048,8089761,8338914,8479751,8599751,8761252,8919557,9011473,9274849,9386489,9472254,9564609
West Bank and Gaza,647203,648039,649110,649971,649971,649971,651700,652298,652763,652966,653293,653293,653293,653854,654068,654068,654380,654380,654380,654380,654954,654954,654954,655468,655468,655468,655468,655750,655750,655750,655750
Winter Olympics 2022,524,524,526,530,530,532,532,533,533,535,535,535,535,535,535,535,535,535,535,535,535,535,535,535,535,535,535,535,535,535,535
Yemen,11771,11771,11772,11774,11775,11777,11781,11781,11781,11783,11783,11784,11784,11793,11793,11797,11797,11797,11799,11801,11801,11802,11802,11803,11803,11803,11803,11803,11803,11805,11806
Zambia,312970,313203,313394,313613,313744,313821,313910,314159,314641,314850,314986,315148,315202,315202,315202,315496,315623,315623,315623,315623,315892,316088,316190,316312,316422,316501,316550,316550,316550,316550,316850
Zimbabwe,236871,237503,237503,238739,239019,239209,239710,240343,240343,241548,241548,242069,242515,242909,242909,243650,243650,244012,244452,244452,244685,244685,244958,245194,245645,245645,245820,245927,246042,246182,246286
