Country_Region,2022/04/01,2022/04/02,2022/04/03,2022/04/04,2022/04/05,2022/04/06,2022/04/07,2022/04/08,2022/04/09,2022/04/10,2022/04/11,2022/04/12,2022/04/13,2022/04/14,2022/04/15,2022/04/16,2022/04/17,2022/04/18,2022/04/19,2022/04/20,2022/04/21,2022/04/22,2022/04/23,2022/04/24,2022/04/25,2022/04/26,2022/04/27,2022/04/28,2022/04/29,2022/04/30
Brunei,134915,135430,135974,136374,136821,137239,137585,137947,138261,138530,138811,139061,139278,139465,139637,139847,140023,140182,140364,140542,140723,140873,141014,141119,141269,141405,141531,141629,141748,141850
Bulgaria,1139956,1140453,1140679,1141859,1142698,1143424,1144107,1144822,1145143,1145408,1146279,1147165,1147812,1148362,1148971,1149225,1149447,1150342,1151011,1151620,1152251,1152538,1152892,1153129,1153506,1154646,1155387,1155975,1156466,1156729
Burkina Faso,20858,20858,20858,20858,20858,20858,20858,20858,20858,20858,20865,20865,20865,20865,20865,20865,20865,20865,20865,20865,20865,20865,20865,20865,20865,20865,20865,20865,20865,20865
Burma,611674,611809,611875,611926,611984,612079,612132,612224,612278,612341,612383,612406,612460,612480,612527,612545,612565,612602,612658,612677,612697,612714,612733,612749,612770,612785,612802,612843,612864,612883
Burundi,38519,38519,38519,38588,38588,38609,38609,38663,38663,38663,38698,38698,38722,38722,38722,38722,38722,38722,38812,38812,38853,38887,38887,38887,39632,39634,39634,39794,39998,39998
Cabo Verde,55957,55958,55960,55961,55961,55963,55963,55970,55971,55972,55973,55974,55978,55986,55986,55988,55990,55991,55993,55998,55999,56001,56004,56004,56008,56010,56014,56016,56020,56022
Cambodia,135682,135714,135747,135782,135812,135834,135861,135889,135914,135947,135963,135980,135998,136013,136032,136044,136060,136076,136090,136117,136146,136172,136200,136216,136228,136230,136235,136240,136246,136251
Cameroon,119544,119544,119544,119544,119544,119544,119544,119780,119780,119780,119780,119780,119780,119780,119780,119780,119780,119780,119780,119780,119780,119780,119780,119780,119780,119780,119780,119780,119780,119780
Canada,3502380,3509394,3511975,3512535,3521439,3530991,3537010,3537010,3552577,3552577,3552709,3552709,3614158,3635332,3627286,3643973,3645911,3657885,3665778,3679211,3689726,3707016,3711767,3716424,3720307,3727897,3740982,3749479,3761708,3765164
Central African Republic,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649
Chad,7310,7310,7310,7347,7347,7349,7349,7349,7349,7349,7378,7378,7378,7378,7378,7378,7378,7396,7396,7396,7396,7396,7396,7396,7411,7411,7411,7411,7411,7411
Chile,3476914,3482175,3486653,3489913,3491962,3495889,3500670,3504783,3508556,3512020,3514291,3515878,3518800,3522422,3525845,3528626,3530258,3531529,3532649,3535534,3538843,3541792,3544463,3546493,3547977,3549327,3551383,3553956,3556333,3558631
China,1400358,1414142,1430893,1446956,1466859,1490014,1515913,1541981,1569185,1597094,1626085,1652078,1679717,1713300,1738527,1762757,1787635,1811382,1832597,1849430,1869000,1888027,1911669,1933414,1953258,1970377,1983788,1994593,2005524,2015624
Colombia,6085270,6085618,6085926,6086233,6086484,6086811,6087123,6087443,6087737,6088034,6088335,6088619,6088912,6089176,6089381,6089540,6089662,6089791,6089998,6090246,6090520,6090803,6091094,6091343,6091551,6091753,6091959,6092167,6092403,6092667
Comoros,8088,8088,8093,8093,8093,8095,8095,8097,8097,8099,8100,8100,8100,8100,8100,8100,8100,8100,8103,8103,8104,8104,8104,8104,8105,8105,8105,8105,8105,8105
Congo (Brazzaville),24071,24071,24071,24071,24079,24079,24079,24079,24079,24079,24079,24079,24079,24079,24079,24079,24079,24079,24079,24079,24079,24079,24079,24079,24079,24079,24079,24079,24079,24079
Congo (Kinshasa),86748,86748,86748,86748,86748,86748,86748,86748,86748,86748,86748,86748,86748,87023,87023,87023,87023,87023,87023,87023,87023,87023,87023,87023,87023,87023,87023,87023,87023,87023
Costa Rica,839368,839368,839368,839368,841343,841343,841343,841343,841343,841343,841343,844892,844892,844892,844892,844892,844892,844892,844892,847784,847784,847784,847784,847784,847784,847784,852074,852074,852074,852074
Cote d'Ivoire,81741,81761,81761,81771,81780,81780,81800,81803,81814,81828,81829,81834,81838,81842,81849,81857,81857,81861,81861,81870,81875,81881,81887,81887,81898,81909,81913,81920,81930,81930
Croatia,1100618,1101921,1102730,1102827,1103662,1105315,1106557,1107648,1108551,1109066,1109148,1109847,1110989,1111823,1112491,1113135,1113517,1113547,1113663,1114141,1115442,1116281,1117175,1117735,1117822,1118526,1119916,1120766,1121662,1122459
Cuba,1091063,1091852,1092547,1093166,1093676,1094352,1095006,1095625,1096234,1096837,1097333,1097675,1098114,1098563,1099042,1099444,1099736,1100073,1100312,1100609,1100938,1101220,1101486,1101731,1101968,1102164,1102355,1102559,1102750,1102941
Cyprus,433217,437111,439964,444174,447161,449877,452334,454362,456126,457585,459839,461531,462945,464366,464366,464366,464366,464366,465787,465787,465787,470319,470481,470481,470481,470481,470481,470481,480220,480220
Czechia,4073829,4077544,4079679,4086258,4093300,4101132,4107208,4112287,4115341,4115738,4122103,4127104,4131359,4131963,4136525,4138441,4139418,4140424,4144163,4148309,4151107,4153635,4154960,4155729,4157991,4160143,4162613,4164485,4166233,4166475
Denmark,3108402,3111254,3113334,3115600,3118963,3122177,3124924,3127604,3130061,3131783,3133588,3136271,3138528,3140787,3142234,3143644,3145251,3145251,3148266,3150617,3152659,3154293,3155643,3156648,3157631,3159115,3160322,3161410,3162350,3163284
Diamond Princess,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712
Djibouti,15587,15588,15590,15590,15591,15591,15593,15593,15594,15594,15595,15595,15598,15598,15598,15598,15598,15598,15598,15598,15611,15611,15611,15611,15611,15611,15611,15611,15611,15611
Dominica,11891,11891,11891,11891,11897,11897,11953,11953,11953,11953,11953,11981,11981,11988,11988,11988,11988,11988,11988,11988,12011,12011,12011,12011,12011,12011,12033,12033,12033,12033
Dominican Republic,578130,578130,578130,578209,578319,578319,578416,578416,578416,578531,578531,578626,578626,578663,578663,578733,578733,578789,578789,578789,578954,578954,578954,579114,579114,579114,579248,579248,579248,579248
Ecuador,859890,859890,859890,862321,862321,862321,863398,863398,863398,863398,865263,865263,865263,865585,865585,865585,865585,866884,866925,866925,867170,867170,868053,868053,868285,868285,868285,869124,869124,869696
Egypt,505264,505264,505264,509177,509177,509177,509177,509177,509177,509177,511977,511977,511977,511977,511977,511977,511977,511977,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645
El Salvador,161052,161052,161570,161570,161570,161570,161570,161570,161945,162089,162089,162089,162089,162089,162089,162089,162089,162089,162089,162089,162089,162089,162089,162089,162089,162089,162089,162089,162089,162089
Equatorial Guinea,16000,16000,16000,16000,16000,16001,16001,16001,16001,16001,15904,15904,15904,15906,15906,15906,15906,15906,15907,15907,15907,15907,15907,15907,15907,15907,15907,15907,15907,15907
Eritrea,9728,9728,9728,9728,9728,9728,9728,9729,9729,9731,9732,9732,9732,9733,9733,9733,9733,9733,9733,9733,9733,9734,9734,9734,9734,9734,9734,9734,9734,9734
Estonia,557314,558253,558706,559133,560233,561228,562114,562939,563684,564031,564309,565213,565839,566467,566923,567183,567463,567644,568335,568543,569347,569722,570076,570257,570405,570931,571300,571625,571917,572193
Eswatini,69832,69838,69851,69862,69897,69927,69947,69959,69966,69968,69990,70014,70048,70072,70097,70098,70102,70102,70107,70144,70190,70253,70284,70294,70303,70354,70456,70528,70626,70643
Ethiopia,469784,469806,469819,469843,469879,469916,469979,470005,470025,470050,470096,470108,470151,470165,470232,470259,470273,470288,470305,470352,470389,470405,470417,470434,470442,470468,470492,470515,470550,470568
Fiji,64417,64417,64417,64425,64425,64471,64471,64492,64492,64492,64499,64499,64502,64502,64509,64509,64509,64513,64513,64524,64524,64524,64524,64524,64535,64535,64535,64634,64634,64634
Finland,889626,889626,889626,901336,907786,913476,920692,920692,920692,920692,920692,920692,920692,949583,949583,949583,949583,949583,949583,949583,1000472,1000472,1000472,1000472,1000472,1000472,1000472,1023013,1023013,1023013
France,25952226,26084340,26186606,26218724,26428476,26579448,26738483,26887490,27029271,27136925,27162463,27353225,27512516,27637292,27762686,27874269,27960919,27980729,28006219,28162002,28266009,28354529,28435100,28494054,28508116,28605614,28673411,28733434,28786413,28835895
Gabon,47586,47586,47586,47588,47588,47588,47588,47588,47588,47588,47588,47588,47591,47591,47591,47594,47594,47594,47594,47594,47594,47594,47597,47597,47597,47597,47597,47602,47602,47602
Gambia,11988,11988,11988,11989,11990,11990,11990,11990,11990,11990,11990,11990,11990,11994,11994,11994,11994,11994,11994,11995,11995,11995,11995,11995,11995,11995,11995,11995,11995,11995
Georgia,1648653,1649005,1649222,1649430,1650008,1650384,1650708,1650981,1651322,1651470,1651577,1651969,1652235,1652472,1652707,1652929,1653044,1653118,1653460,1653692,1653915,1654076,1654163,1654255,1654313,1654375,1654665,1654797,1654945,1655098
Germany,21357039,21357039,21357039,21668677,21849074,22064059,22265788,22441051,22441051,22441051,22715638,22840776,23017079,23182447,23182447,23182447,23182447,23182447,23459628,23658211,23844536,24006254,24006254,24006254,24200596,24337394,24479055,24609159,24710769,24710769
Ghana,160971,160971,160971,160971,161014,161034,161034,161048,161048,161048,161071,161071,161071,161086,161101,161101,161101,161101,161114,161117,161124,161124,161124,161124,161157,161157,161170,161170,161173,161173
Greece,3051531,3067354,3077711,3096135,3114591,3126856,3137714,3152477,3164995,3173630,3180556,3195887,3206948,3216256,3224479,3232496,3238169,3242037,3252248,3259613,3266368,3273382,3277557,3277557,3285970,3290895,3302382,3309962,3317425,3323922
Grenada,14012,14012,14024,14024,14024,14024,14024,14024,14024,14064,14064,14064,14064,14165,14165,14165,14165,14165,14165,14287,14332,14332,14428,14428,14428,14519,14519,14629,14629,14629
Guatemala,829881,830745,830933,831149,832159,832956,833723,834481,835213,835338,835425,836234,836234,837326,837377,837492,837558,837608,838518,839416,840477,841341,842369,842572,842653,843269,844059,844989,845868,846546
