Country_Region,2022/04/01,2022/04/02,2022/04/03,2022/04/04,2022/04/05,2022/04/06,2022/04/07,2022/04/08,2022/04/09,2022/04/10,2022/04/11,2022/04/12,2022/04/13,2022/04/14,2022/04/15,2022/04/16,2022/04/17,2022/04/18,2022/04/19,2022/04/20,2022/04/21,2022/04/22,2022/04/23,2022/04/24,2022/04/25,2022/04/26,2022/04/27,2022/04/28,2022/04/29,2022/04/30
Netherlands,7974049,7991000,8003377,8014427,8028475,8041708,8054589,8066022,8075930,8083108,8089752,8096401,8101552,8106357,8110496,8114337,8117175,8119285,8121967,8125697,8128733,8131494,8133776,8135366,8136891,8138755,8140717,8141965,8144000,8145596
New Zealand,686499,695344,705770,720183,733007,744869,745029,763718,770473,778106,789514,799197,799301,816865,822677,828815,835097,835097,854955,865529,875089,883192,888906,894774,901230,911259,920462,928845,936008,941736
Nicaragua,14269,14269,14269,14269,14269,14306,14306,14306,14306,14306,14306,14306,14339,14339,14339,14339,14339,14339,14339,14371,14371,14371,14371,14371,14371,14371,14395,14395,14395,14395
Niger,8801,8810,8811,8811,8816,8822,8822,8822,8822,8822,8846,8846,8846,8846,8866,8871,8877,8883,8893,8903,8908,8908,8914,8914,8916,8921,8924,8924,8928,8941
Nigeria,255468,255468,255468,255468,255516,255516,255575,255575,255606,255606,255633,255663,255633,255646,255646,255648,255648,255648,255670,255670,255679,255685,255685,255685,255685,255685,255685,255716,255716,255716
North Macedonia,306178,306474,306670,306711,306947,307142,307344,307507,307654,307796,307817,307967,308152,308294,308390,308516,308605,308620,308752,308878,308964,309062,309062,309062,309208,309229,309310,309434,309571,309571
Norway,1407422,1408257,1408708,1410051,1411550,1412969,1413957,1414993,1415609,1415928,1416712,1417631,1417631,1418814,1419096,1419507,1419729,1420033,1420750,1421691,1422583,1423220,1423509,1423629,1424180,1424672,1425079,1425464,1425809,1426013
Oman,388343,388343,388468,388500,388536,388571,388603,388603,388603,388686,388709,388741,388763,388795,388795,388795,388865,388891,388922,388956,388995,388995,388995,389053,389074,389099,389113,389126,389126,389126
Pakistan,1525181,1525466,1525620,1525775,1525923,1526093,1526234,1526472,1526568,1526666,1526728,1526829,1526952,1526952,1527151,1527248,1527326,1527411,1527486,1527589,1527669,1527751,1527751,1527956,1527956,1527956,1527956,1527956,1527956,1527956
Palau,4042,4042,4042,4042,4070,4070,4070,4098,4098,4098,4098,4122,4122,4122,4190,4190,4190,4190,4190,4279,4279,4396,4396,4396,4396,4486,4486,4486,4610,4610
Panama,764831,764831,765213,765337,765677,765930,766177,766504,766504,766931,766931,767067,767438,768199,768470,768470,768794,768978,769457,769976,770463,771005,771486,771819,772086,772830,773675,774549,775488,776420
Papua New Guinea,43203,43203,43203,43374,43374,43424,43424,43424,43424,43424,43526,43615,43615,43636,43660,43660,43660,43663,43663,43669,43732,43732,43732,43732,43800,43800,43803,43814,43817,43817
Paraguay,648353,648353,648353,648353,648353,648353,648353,648446,648446,648446,648446,648446,648446,648446,648446,648446,648446,648446,648682,648682,648682,649034,649034,649034,649034,649034,649034,649034,649455,649455
Peru,3547606,3548088,3548559,3548717,3549028,3549511,3550240,3550791,3551245,3551540,3551800,3552467,3553210,3554006,3554669,3555139,3555739,3556384,3557139,3557869,3558613,3559343,3560095,3560876,3561677,3562300,3563151,3563929,3564558,3565253
Philippines,3678598,3678968,3679629,3679761,3679983,3680244,3680514,3680802,3681101,3681374,3681646,3681851,3682083,3682356,3682623,3682847,3683042,3683211,3683367,3683732,3683865,3684094,3684300,3684500,3684712,3684835,3685029,3685222,3685403,3685643
Poland,5966970,5969071,5969621,5970114,5971998,5973557,5975040,5976364,5977773,5978215,5978596,5980220,5981486,5982664,5983864,5984940,5985251,5985517,5985818,5987341,5988518,5989614,5990853,5991197,5991464,5992820,5993861,5994818,5995674,5996514
Portugal,3750596,3761667,3771485,3778225,3781692,3792576,3803856,3813931,3824253,3834105,3841334,3845066,3857251,3869796,3881346,3893109,3898232,3905880,3909157,3922227,3936432,3948030,3959702,3969315,3976259,3979984,3984766,3999112,4013640,4027684
Qatar,361545,361667,361819,362007,362150,362273,362404,362404,362623,362783,362937,363031,363139,363258,363345,363443,363543,363654,363754,363828,363905,364012,364089,364187,364300,364371,364421,364498,364560,364602
Romania,2856491,2858665,2860094,2861426,2864473,2866793,2868777,2870486,2871937,2872849,2873875,2875942,2877544,2879021,2880276,2881322,2881904,2882590,2884114,2885221,2886284,2887258,2887824,2888318,2888639,2889363,2890827,2891973,2892989,2893876
Russia,17601907,17619521,17636019,17651048,17664790,17679300,17693468,17707591,17720977,17733809,17745453,17756183,17767760,17778928,17790211,17801103,17811199,17820486,17829009,17838087,17846818,17855661,17864332,17872625,17880154,17887152,17894787,17902334,17909924,17917191
Rwanda,129726,129726,129728,129733,129736,129739,129742,129743,129748,129750,129757,129757,129759,129760,129760,129760,129760,129760,129769,129769,129769,129772,129772,129772,129785,129788,129791,129797,129799,129806
Saint Kitts and Nevis,5549,5549,5549,5549,5550,5551,5551,5552,5553,5553,5554,5554,5554,5555,5555,5557,5559,5559,5561,5561,5561,5561,5561,5561,5562,5562,5562,5562,5562,5562
Saint Lucia,22959,22959,22964,22965,22977,22991,22998,23010,23029,23037,23045,23045,23045,23050,23050,23094,23094,23094,23111,23161,23161,23201,23239,23239,23285,23285,23285,23361,23394,23394
Saint Vincent and the Grenadines,8335,8335,8335,8335,8338,8338,8339,8339,8339,8339,8342,8344,8344,8348,8348,8348,8348,8348,8352,8355,8378,8383,8383,8383,8394,8404,8406,8413,8419,8419
Samoa,2128,2331,2331,2622,2622,2782,3320,3320,3320,3665,3665,4092,4092,4092,4793,4793,5947,5947,6309,6794,6794,7185,7185,7185,7185,8351,8351,8995,9592,9592
San Marino,15345,15345,15345,15345,15345,15538,15581,15629,15629,15629,15683,15779,15827,15874,15874,15874,15874,15874,15981,16076,16140,16186,16186,16186,16186,16186,16186,16186,16437,16437
Sao Tome and Principe,5945,5945,5945,5948,5948,5948,5948,5948,5948,5948,5948,5948,5948,5948,5948,5948,5948,5953,5953,5953,5953,5953,5953,5953,5957,5957,5957,5957,5957,5957
Saudi Arabia,750910,750998,751076,751180,751296,751404,751518,751622,751717,751813,751943,752078,752188,752291,752396,752479,752572,752705,752848,752994,753124,753241,753332,753417,753526,753632,753730,753822,753921,754011
Senegal,85901,85911,85919,85920,85924,85931,85940,85947,85949,85950,85952,85952,85954,85961,85965,85967,85968,85971,85972,85975,85978,85982,85984,85988,85989,85991,85993,85994,85995,85997
Serbia,1978228,1979729,1980722,1982193,1983734,1985085,1986439,1987756,1988716,1989415,1990511,1991620,1992677,1993661,1994623,1995351,1995986,1996868,1997855,1998776,1999753,2000516,2001144,2001654,2002353,2003334,2004255,2005072,2005832,2006353
Seychelles,40421,40421,40421,40866,40866,40866,40866,41059,41059,41059,41147,41147,41234,41660,41660,41660,41660,41660,41660,41660,42079,42079,42079,42079,42236,42474,42474,42502,42502,42502
Sierra Leone,7674,7674,7674,7675,7675,7675,7675,7675,7677,7677,7677,7677,7677,7681,7681,7681,7681,7681,7681,7681,7681,7681,7681,7681,7681,7681,7681,7681,7681,7681
Singapore,1101438,1106001,1109744,1109744,1119419,1123886,1128155,1132169,1135428,1138001,1140569,1145121,1148656,1152177,1155581,1157251,1160300,1162780,1167498,1170970,1174390,1177415,1180124,1182168,1184226,1187914,1187914,1187914,1193250,1193250
Slovakia,2450101,2456636,2460197,2462300,2468812,2474869,2480132,2484354,2488243,2490661,2491957,2495855,2498938,2498938,2504931,2505968,2506879,2506879,2509184,2508400,2514884,2517571,2519448,2520706,2521279,2523096,2526855,2528216,2528216,2528216
Slovenia,970541,972899,973876,974694,978134,980451,982784,984838,986719,987527,988066,990788,992497,994164,995515,996832,997395,997766,998247,1000432,1001713,1002908,1003970,1004466,1004798,1006377,1007538,1007821,1009085,1010058
Solomon Islands,11470,11470,11470,11470,11856,11856,12005,12005,12005,12005,12005,12285,12285,12437,12437,12437,12437,12437,12437,12437,12437,12437,12437,12437,14182,14786,14786,14786,14786,14786
Somalia,26410,26410,26410,26410,26471,26471,26471,26471,26471,26471,26471,26471,26471,26471,26471,26471,26471,26485,26485,26485,26485,26485,26485,26485,26485,26485,26485,26485,26485,26485
South Africa,3718953,3718953,3722954,3722954,3725177,3727208,3728689,3730066,3731247,3732075,3732628,3733919,3735578,3737346,3739192,3740398,3741230,3742107,3743582,3746424,3750830,3755459,3759689,3762911,3764865,3769927,3776298,3780444,3785398,3791125
South Sudan,17278,17278,17278,17301,17311,17311,17321,17333,17333,17333,17353,17356,17362,17369,17369,17369,17369,17408,17410,17420,17420,17422,17422,17422,17443,17445,17450,17456,17461,17461
Spain,11551574,11551574,11551574,11551574,11578653,11578653,11578653,11627487,11627487,11627487,11627487,11662214,11662214,11662214,11662214,11662214,11662214,11662214,11736893,11736893,11736893,11786036,11786036,11786036,11786036,11833457,11833457,11833457,11896152,11896152
Sri Lanka,661781,661885,661991,662103,662216,662342,662425,662505,662559,662592,662657,662717,662748,662775,662794,662827,662827,662912,662945,663006,663041,663091,663131,663131,663195,663239,663239,663301,663329,663362
Sudan,61955,61955,61955,61966,61987,61987,61987,61987,61987,61987,62034,62034,62057,62057,62057,62057,62057,62057,62079,62079,62084,62093,62093,62093,62093,62117,62117,62117,62117,62117
Summer Olympics 2020,865,865,865,865,865,865,865,865,865,865,865,865,865,865,865,865,865,865,865,865,865,865,865,865,865,865,865,865,865,865
Suriname,79229,79229,79232,79236,79241,79241,79241,79241,79241,79241,79241,79276,79276,79276,79276,79276,79276,79276,79302,79302,79302,79302,79302,79302,79302,79336,79336,79336,79336,79336
Sweden,2487852,2487852,2487852,2487852,2487852,2487852,2491980,2491980,2491980,2491980,2491980,2491980,2491980,2495996,2495996,2495996,2495996,2495996,2495996,2495996,2498388,2498388,2498388,2498388,2498388,2498388,2498388,2500917,2500917,2500917
Switzerland,3507309,3507309,3507309,3507309,3528689,3528689,3528689,3528689,3528689,3528689,3528689,3568616,3568616,3568616,3568616,3568616,3568616,3568616,3596855,3596855,3596855,3596855,3596855,3596855,3596855,3619598,3619598,3619598,3619598,3619598
Syria,55701,55706,55711,55718,55723,55727,55731,55735,55739,55742,55745,55750,55750,55761,55765,55769,55773,55778,55782,55785,55790,55792,55795,55797,55799,55803,55807,55810,55813,55813
Taiwan*,23629,24033,24313,24588,24866,25225,25756,26263,26836,27410,28040,28666,29593,30574,31857,33205,34507,35983,37710,40186,43243,47100,51298,56468,61686,68022,76938,88446,100753,115883
Tajikistan,17786,17786,17786,17786,17786,17786,17786,17786,17786,17786,17786,17786,17786,17786,17786,17786,17786,17786,17786,17786,17786,17786,17786,17786,17786,17786,17786,17786,17786,17786
Tanzania,33815,33815,33815,33815,33815,33815,33815,33815,33815,33815,33815,33851,33851,33851,33851,33851,33851,33851,33864,33864,33864,33864,33864,33864,33864,33872,33872,33872,33872,33872
Thailand,3656726,3684755,3711595,3736487,3757575,3781827,3807908,3833048,3858346,3883485,3905872,3925854,3948869,3973003,3993292,4012184,4029959,4046953,4063844,4084299,4106230,4128038,4148090,4165874,4180868,4194684,4209571,4224008,4238061,4250949
Timor-Leste,22832,22832,22832,22832,22836,22836,22842,22842,22842,22842,22842,22844,22848,22851,22853,22853,22853,22853,22853,22854,22857,22860,22860,22860,22860,22861,22862,22863,22865,22865
Togo,36943,36943,36944,36945,36946,36950,36955,36955,36956,36957,36957,36957,36957,36960,36962,36962,36963,36967,36969,36971,36973,36973,36977,36977,36979,36981,36981,36985,36985,36985
Tonga,6546,6996,7127,7234,7385,7528,7665,7931,7931,7931,8444,8559,8761,8842,8842,8922,9025,9025,9106,9220,9468,9553,9553,9553,9697,9838,9838,10065,10196,10196
Trinidad and Tobago,138159,138159,138425,138793,139114,139397,139595,139973,139973,140332,140457,140781,140781,141604,141853,142076,142222,142422,142514,142919,143465,143884,144359,144563,145021,145597,146140,146942,147450,147867
Tunisia,1035884,1035884,1035884,1035884,1037358,1037358,1037358,1037358,1037358,1037358,1037358,1038668,1038668,1038668,1038668,1038668,1038668,1038668,1039532,1039532,1039532,1039532,1039532,1039532,1039532,1040193,1040193,1040193,1040193,1040193
Turkey,14873927,14885710,14894731,14907378,14919591,14929905,14939259,14946379,14953365,14958974,14965867,14972502,14978031,14983158,14987583,14991669,14994937,14999479,15003696,15007364,15010718,15013616,15016270,15018547,15021151,15023662,15026141,15028397,15030321,15032093
Tuvalu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US,80252822,80264902,80269916,80308034,80333004,80372934,80422607,80495785,80508841,80518648,80556762,80591984,80648052,80695905,80730374,80743193,80751116,80810667,80849167,80916941,80977423,81065998,81086701,81100684,81168488,81213378,81303190,81380164,81441418,81466515
Uganda,163919,163932,163936,163949,163951,163954,163954,163972,163985,163993,163996,164012,164024,164035,164042,164051,164051,164055,164058,164069,164069,164069,164069,164069,164069,164069,164069,164069,164084,164084
Ukraine,5199775,5202690,5203875,5204632,5206731,5208892,5211118,5213143,5215360,5215627,5216044,5218179,5219784,5221359,5222493,5223367,5223754,5224058,5225140,5226284,5227305,5228118,5228886,5229187,5229411,5230066,5230878,5231933,5232613,5233265
United Arab Emirates,891588,891872,892170,892470,892714,892929,893072,893312,893538,893762,893970,894186,894523,894779,895018,895264,895465,895663,895892,896141,896372,896631,896892,897136,897351,897558,897770,898045,898310,898571
United Kingdom,21379545,21379545,21379545,21522955,21573997,21625530,21674196,21716180,21716180,21716180,21807532,21846115,21882139,21916961,21916961,21916961,21916961,21916961,22033383,22060704,22082374,22106306,22106306,22106306,22151465,22168390,22186658,22201340,22213947,22213972
Uruguay,888639,889132,889513,890140,890980,891800,892454,893009,893575,893909,894267,894630,894984,895240,895451,895592,895775,895775,895775,895775,895775,895775,895775,895775,895775,895775,895775,895775,897867,897867
Uzbekistan,237787,237828,237853,237888,237906,237932,237967,237994,238040,238071,238088,238098,238145,238176,238214,238252,238288,238313,238321,238367,238401,238428,238442,238469,238503,238510,238535,238556,238577,238596
Vanuatu,3710,3881,4237,4431,4438,4713,4915,4922,5125,5480,5487,5536,5543,5543,6109,6314,6332,6386,6401,6458,6465,6537,6793,6840,6860,6952,7054,7151,7330,7330
Venezuela,520497,520708,520843,520905,521030,521105,521186,521325,521373,521471,521471,521546,521618,521880,521946,522034,522042,522049,522055,522056,522056,522088,522121,522176,522234,522243,522263,522263,522305,522325
Vietnam,9650663,9716282,9818328,9867045,9922040,9980464,10070692,10135789,10169929,10198236,10250160,10272964,10297587,10320599,10394533,10417887,10432547,10475819,10489319,10502590,10533164,10544324,10554689,10563502,10571772,10620203,10631516,10638632,10644700,10649809
West Bank and Gaza,655750,655750,655750,656287,656287,656287,656287,656287,656287,656287,656287,656617,656617,656617,656617,656617,656617,656617,656876,656876,656876,656876,656876,656876,656876,657060,657060,657060,657060,657060
Winter Olympics 2022,535,535,535,535,535,535,535,535,535,535,535,535,535,535,535,535,535,535,535,535,535,535,535,535,535,535,535,535,535,535
Yemen,11806,11806,11806,11808,11812,11812,11812,11812,11813,11813,11814,11814,11815,11815,11817,11817,11817,11818,11818,11818,11818,11818,11818,11818,11818,11818,11818,11818,11818,11818
Zambia,316941,317031,317031,317110,317221,317358,317483,317483,317483,317483,317804,317804,317804,318229,318404,318467,318515,318515,318640,318640,318984,318984,318984,318984,319316,319431,319431,319594,319594,319594
Zimbabwe,246414,246481,246525,246612,246744,246803,246870,246925,246925,246958,247010,247094,247094,247208,247237,247237,247278,247297,247297,247336,247383,247488,247524,247524,247598,247667,247729,247784,247842,247875
